,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
248,249,X,O,0.04364779591560364,0,-1.0,-0.9,0.5
498,499,X,O,0.04876043647527695,0,-1.0,-0.924,0.5
748,749,X,O,0.04382540285587311,0,-1.0,-0.688,0.5
998,999,X,O,0.06159047409892082,0,-1.0,-0.668,0.5
1248,1249,X,O,0.06182225048542023,0,-1.0,-0.788,0.5
1498,1499,X,O,0.08167050778865814,0,-1.0,-0.856,0.5
1748,1749,X,O,0.06767019629478455,0,-1.0,-0.956,0.5
1998,1999,X,O,0.048841603100299835,0,-1.0,-0.868,0.5
2248,2249,X,O,0.062066398561000824,0,-1.0,-0.744,0.5
2498,2499,X,O,0.07103954255580902,0,-1.0,-0.696,0.5
2748,2749,X,O,0.07366975396871567,0,-1.0,-0.844,0.5
2998,2999,X,O,0.08491721749305725,0,-1.0,-0.844,0.5
3248,3249,X,O,0.07019387185573578,0,-1.0,-0.812,0.5
3498,3499,X,O,0.06376288831233978,0,-0.244,-0.652,0.5
3748,3749,X,O,0.07242401689291,0,-1.0,-0.816,0.5
3998,3999,X,O,0.07978308945894241,0,-1.0,-0.816,0.5
4248,4249,X,O,0.08817730844020844,0,-1.0,-0.704,0.5
4498,4499,X,O,0.06774259358644485,0,-1.0,-0.588,0.5
4748,4749,X,O,0.10117503255605698,0,-1.0,-0.744,0.5
4998,4999,X,O,0.0644073486328125,0,-1.0,-0.552,0.5
5248,5249,X,O,0.06925192475318909,0,-1.0,-0.636,0.5
5498,5499,X,O,0.11423972249031067,0,-1.0,-0.616,0.5
5748,5749,X,O,0.08733586221933365,0,-1.0,-0.568,0.5
5998,5999,X,O,0.09616972506046295,0,-0.788,-0.644,0.5
6248,6249,X,O,0.05302992835640907,0,-1.0,-0.676,0.5
6498,6499,X,O,0.04853034019470215,0,-1.0,-0.416,0.5
6748,6749,X,O,0.0659385621547699,0,-1.0,-0.552,0.5
6998,6999,X,O,0.09806574136018753,0,-1.0,-0.644,0.5
7248,7249,X,O,0.06106175482273102,0,-1.0,-0.604,0.5
7498,7499,X,O,0.06412695348262787,0,-1.0,-0.692,0.5
7748,7749,X,O,0.1038246676325798,0,-1.0,-0.608,0.5
7998,7999,X,O,0.07034847140312195,0,-0.764,-0.612,0.5
8248,8249,X,O,0.09360681474208832,0,-0.548,-0.468,0.5
8498,8499,X,O,0.10001295804977417,0,-0.716,-0.4,0.5
8748,8749,X,O,0.1090361475944519,0,-0.464,-0.512,0.5
8998,8999,X,O,0.101081483066082,0,-0.428,-0.428,0.5
9248,9249,X,O,0.07125194370746613,0,-0.5,-0.372,0.5
9498,9499,X,O,0.08455370366573334,0,-0.472,-0.516,0.5
9748,9749,X,O,0.08543902635574341,0,-1.0,-0.568,0.5
9998,9999,X,O,0.08207385241985321,0,-1.0,-0.66,0.5
10248,10249,X,O,0.037681013345718384,0,-1.0,-0.644,0.5
10498,10499,X,O,0.10853894054889679,0,-0.808,-0.56,0.5
10748,10749,X,O,0.06054001301527023,0,-0.78,-0.684,0.5
10998,10999,X,O,0.09063132852315903,0,-1.0,-0.776,0.5
11248,11249,X,O,0.06336834281682968,0,-1.0,-0.708,0.5
11498,11499,X,O,0.059738170355558395,0,-1.0,-0.664,0.5
11748,11749,X,O,0.06584121286869049,0,-1.0,-0.632,0.5
11998,11999,X,O,0.05295095220208168,0,-1.0,-0.6,0.5
12248,12249,X,O,0.06844532489776611,0,-1.0,-0.54,0.5
12498,12499,X,O,0.05488797277212143,0,-1.0,-0.696,0.5
12748,12749,X,O,0.07246480137109756,0,-1.0,-0.712,0.5
12998,12999,X,O,0.04117085784673691,0,-1.0,-0.724,0.5
13248,13249,X,O,0.0766327753663063,0,-0.752,-0.652,0.5
13498,13499,X,O,0.06165224313735962,0,-0.72,-0.296,0.5
13748,13749,X,O,0.07308851182460785,0,-0.748,-0.552,0.5
13998,13999,X,O,0.0632818192243576,0,-1.0,-0.592,0.5
14248,14249,X,O,0.08023805916309357,0,-0.796,-0.612,0.5
14498,14499,X,O,0.09551888704299927,0,-1.0,-0.512,0.5
14748,14749,X,O,0.1039508581161499,0,-0.784,-0.8,0.5
14998,14999,X,O,0.04912799224257469,0,-1.0,-0.628,0.5
15248,15249,X,O,0.10325375944375992,0,-1.0,-0.556,0.5
15498,15499,X,O,0.10139744728803635,0,-0.72,-0.628,0.5
15748,15749,X,O,0.07622388750314713,0,-1.0,-0.784,0.5
15998,15999,X,O,0.0637400895357132,0,-1.0,-0.752,0.5
16248,16249,X,O,0.05066310241818428,0,-1.0,-0.884,0.5
16498,16499,X,O,0.08795588463544846,0,-1.0,-0.808,0.5
16748,16749,X,O,0.09962129592895508,0,-1.0,-0.78,0.5
16998,16999,X,O,0.06381567567586899,0,-1.0,-0.72,0.5
17248,17249,X,O,0.06079224497079849,0,-1.0,-0.788,0.5
17498,17499,X,O,0.0748843252658844,0,-1.0,-0.72,0.5
17748,17749,X,O,0.08331503719091415,0,-1.0,-0.788,0.5
17998,17999,X,O,0.06564444303512573,0,-1.0,-0.68,0.5
18248,18249,X,O,0.09132972359657288,0,-1.0,-0.636,0.5
18498,18499,X,O,0.07231856882572174,0,-1.0,-0.712,0.5
18748,18749,X,O,0.05809270218014717,0,-1.0,-0.756,0.5
18998,18999,X,O,0.054007187485694885,0,-1.0,-0.66,0.5
19248,19249,X,O,0.07880008220672607,0,-1.0,-0.652,0.5
19498,19499,X,O,0.05873958766460419,0,-1.0,-0.664,0.5
19748,19749,X,O,0.08549796044826508,0,-1.0,-0.736,0.5
19998,19999,X,O,0.05999106913805008,0,-1.0,-0.836,0.5
248,249,X,O,0.027059772983193398,0,-1.0,-0.972,0.6
498,499,X,O,0.031038757413625717,0,-1.0,-0.916,0.6
