,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
248,249,X,O,0.007321883924305439,0,-1.0,-0.62,0.0
498,499,X,O,0.0039474861696362495,0,-1.0,-0.684,0.0
748,749,X,O,0.004276829771697521,0,-0.806,-0.372,0.0
998,999,X,O,0.0017831315053626895,0,0.0,-0.536,0.0
1248,1249,X,O,0.0015519708395004272,0,0.0,-0.336,0.0
1498,1499,X,O,0.0011060035321861506,0,0.0,-0.382,0.0
1748,1749,X,O,0.0007110353326424956,0,0.104,-0.306,0.0
1998,1999,X,O,0.0015341110993176699,0,0.0,-0.352,0.0
2248,2249,X,O,0.001478986581787467,0,0.0,-0.316,0.0
2498,2499,X,O,0.0040591624565422535,0,0.202,-0.32,0.0
2748,2749,X,O,0.00027874845545738935,0,0.0,-0.236,0.0
2998,2999,X,O,0.00028099428163841367,0,0.0,-0.302,0.0
3248,3249,X,O,0.0013386828359216452,0,0.0,-0.306,0.0
3498,3499,X,O,0.00029989919858053327,0,0.306,-0.326,0.0
3748,3749,X,O,0.00033954507671296597,0,0.0,-0.25,0.0
3998,3999,X,O,0.0002216465654782951,0,0.104,-0.096,0.0
4248,4249,X,O,0.00018672530131880194,0,0.0,-0.178,0.0
4498,4499,X,O,0.00032071457826532423,0,0.0,-0.066,0.0
4748,4749,X,O,0.0002712478453759104,0,0.096,-0.186,0.0
4998,4999,X,O,8.449962479062378e-05,0,0.0,-0.164,0.0
5248,5249,X,O,0.0002916906087193638,0,0.0,-0.192,0.0
5498,5499,X,O,0.00019776832778006792,0,0.0,-0.054,0.0
5748,5749,X,O,7.983959949342534e-05,0,0.298,-0.178,0.0
5998,5999,X,O,6.698985816910863e-05,0,0.104,-0.178,0.0
6248,6249,X,O,0.0009413358056917787,0,0.0,-0.228,0.0
6498,6499,X,O,0.00016471098933834583,0,0.0,-0.284,0.0
6748,6749,X,O,0.014962418004870415,0,0.0,-0.204,0.0
6998,6999,X,O,4.079843347426504e-05,0,0.0,-0.248,0.0
7248,7249,X,O,5.259992030914873e-05,0,0.194,-0.084,0.0
7498,7499,X,O,0.00011071810149587691,0,0.306,-0.18,0.0
7748,7749,X,O,9.745622810442e-05,0,0.202,-0.136,0.0
7998,7999,X,O,5.202730972087011e-05,0,0.098,-0.056,0.0
8248,8249,X,O,2.026579386438243e-05,0,0.3,-0.044,0.0
8498,8499,X,O,9.476023842580616e-05,0,0.0,-0.038,0.0
