,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
248,249,X,O,0.03923579305410385,0,-1.0,0.286,1
498,499,X,O,0.05679457262158394,0,-1.0,0.578,1
748,749,X,O,0.05844583362340927,0,-0.444,0.704,1
998,999,X,O,0.08848913013935089,0,-1.0,0.752,1
1248,1249,X,O,0.10941144824028015,0,-1.0,0.77,1
1498,1499,X,O,0.07861372828483582,0,-1.0,0.726,1
1748,1749,X,O,0.09643726050853729,0,-1.0,0.746,1
1998,1999,X,O,0.07225537300109863,0,-0.868,0.744,1
2248,2249,X,O,0.08173089474439621,0,-1.0,0.76,1
2498,2499,X,O,0.12085063010454178,0,-0.494,0.846,1
2748,2749,X,O,0.06776095926761627,0,-1.0,0.756,1
2998,2999,X,O,0.12272860109806061,0,-0.914,0.754,1
3248,3249,X,O,0.07741084694862366,0,0.0,0.79,1
3498,3499,X,O,0.08490098267793655,0,0.0,0.832,1
3748,3749,X,O,0.08343734592199326,0,0.0,0.832,1
3998,3999,X,O,0.10722629725933075,0,0.0,0.804,1
4248,4249,X,O,0.0854296013712883,0,0.106,0.786,1
4498,4499,X,O,0.075729139149189,0,0.114,0.854,1
4748,4749,X,O,0.08380918204784393,0,0.0,0.83,1
4998,4999,X,O,0.09041032195091248,0,0.192,0.844,1
5248,5249,X,O,0.09336966276168823,0,0.074,0.87,1
5498,5499,X,O,0.11796417832374573,0,-0.884,0.866,1
5748,5749,X,O,0.09289149194955826,0,-1.0,0.796,1
5998,5999,X,O,0.11315791308879852,0,-1.0,0.856,1
6248,6249,X,O,0.07085417211055756,0,0.0,0.78,1
6498,6499,X,O,0.07982152700424194,0,-1.0,0.856,1
6748,6749,X,O,0.0788402110338211,0,0.174,0.862,1
6998,6999,X,O,0.05995536595582962,0,-0.888,0.806,1
7248,7249,X,O,0.09314942359924316,0,-0.394,0.686,1
7498,7499,X,O,0.10804527997970581,0,0.0,0.878,1
7748,7749,X,O,0.06467261165380478,0,-1.0,0.842,1
7998,7999,X,O,0.07392343878746033,0,-0.5,0.868,1
8248,8249,X,O,0.1116100400686264,0,-0.788,0.866,1
8498,8499,X,O,0.0484977662563324,0,0.0,0.846,1
8748,8749,X,O,0.07525646686553955,0,-0.5,0.832,1
8998,8999,X,O,0.06531035155057907,0,0.0,0.866,1
9248,9249,X,O,0.07194939255714417,0,0.0,0.834,1
9498,9499,X,O,0.08141596615314484,0,0.0,0.888,1
9748,9749,X,O,0.10789009183645248,0,0.0,0.87,1
9998,9999,X,O,0.07794378697872162,0,-1.0,0.844,1
10248,10249,X,O,0.10261156409978867,0,-1.0,0.85,1
10498,10499,X,O,0.05910341814160347,0,-1.0,0.86,1
10748,10749,X,O,0.10890576988458633,0,-1.0,0.818,1
10998,10999,X,O,0.10782711207866669,0,-0.8,0.87,1
11248,11249,X,O,0.0714472159743309,0,-1.0,0.892,1
11498,11499,X,O,0.11260142922401428,0,-1.0,0.726,1
11748,11749,X,O,0.10946148633956909,0,0.096,0.778,1
11998,11999,X,O,0.09988558292388916,0,0.094,0.83,1
12248,12249,X,O,0.10206188261508942,0,0.392,0.882,1
12498,12499,X,O,0.12826623022556305,0,0.0,0.842,1
12748,12749,X,O,0.058913033455610275,0,0.126,0.906,1
12998,12999,X,O,0.11383838206529617,0,0.0,0.802,1
13248,13249,X,O,0.06947106868028641,0,0.076,0.774,1
13498,13499,X,O,0.07890263199806213,0,0.188,0.87,1
13748,13749,X,O,0.09768259525299072,0,-0.794,0.806,1
13998,13999,X,O,0.0872250571846962,0,0.104,0.842,1
14248,14249,X,O,0.0983770489692688,0,-0.786,0.83,1
14498,14499,X,O,0.1132761612534523,0,0.0,0.814,1
14748,14749,X,O,0.0929206907749176,0,-0.89,0.786,1
14998,14999,X,O,0.07762596011161804,0,0.0,0.85,1
15248,15249,X,O,0.08520179986953735,0,0.0,0.82,1
