,game,player_1_opt,player_1_rand
249,250,-0.5,0.33
499,500,-0.5,0.294
749,750,-1.0,0.344
999,1000,-0.5,0.39
1249,1250,-0.386,0.344
1499,1500,-0.3,0.378
1749,1750,-0.4,0.454
1999,2000,-0.4,0.454
2249,2250,-0.304,0.35
2499,2500,-0.284,0.44
2749,2750,-0.296,0.39
2999,3000,-0.828,0.46
3249,3250,-0.31,0.508
3499,3500,-0.294,0.546
3749,3750,-0.268,0.532
3999,4000,-0.398,0.588
4249,4250,-0.41,0.562
4499,4500,-0.302,0.572
4749,4750,-0.296,0.594
4999,5000,-0.332,0.564
5249,5250,-0.306,0.61
5499,5500,-0.394,0.706
5749,5750,-0.284,0.658
5999,6000,-0.304,0.66
6249,6250,-0.282,0.666
6499,6500,-0.28,0.65
6749,6750,-0.294,0.634
6999,7000,-0.312,0.614
7249,7250,-0.308,0.63
7499,7500,-0.302,0.662
7749,7750,-0.288,0.65
7999,8000,-0.41,0.666
8249,8250,-0.32,0.662
8499,8500,-0.292,0.672
8749,8750,-0.306,0.608
8999,9000,-0.314,0.642
9249,9250,-0.276,0.666
9499,9500,-0.394,0.724
9749,9750,-0.29,0.652
9999,10000,-0.298,0.638
10249,10250,-0.316,0.666
10499,10500,-0.398,0.692
10749,10750,-0.406,0.664
10999,11000,-0.298,0.724
11249,11250,-0.296,0.71
11499,11500,-0.278,0.696
11749,11750,-0.88,0.69
11999,12000,-0.298,0.722
12249,12250,-0.296,0.704
12499,12500,-0.306,0.702
12749,12750,-0.394,0.698
12999,13000,-0.384,0.738
13249,13250,-0.314,0.738
13499,13500,-0.388,0.734
13749,13750,-0.5,0.704
13999,14000,-0.368,0.692
14249,14250,-0.31,0.724
14499,14500,-0.282,0.68
14749,14750,-0.386,0.724
14999,15000,-0.322,0.71
15249,15250,-0.296,0.636
15499,15500,-0.386,0.664
15749,15750,-0.404,0.632
15999,16000,-0.414,0.728
16249,16250,-0.264,0.72
16499,16500,-0.306,0.704
16749,16750,-0.276,0.778
16999,17000,-0.288,0.674
17249,17250,-0.334,0.708
17499,17500,-0.304,0.706
17749,17750,-0.302,0.686
17999,18000,-0.304,0.704
18249,18250,-0.278,0.752
18499,18500,-0.3,0.746
18749,18750,-0.296,0.72
18999,19000,-0.32,0.768
19249,19250,-0.302,0.694
19499,19500,-0.396,0.698
19749,19750,-0.28,0.75
