game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
1,-1,1,X,O,0.6939894,0
2,-1,1,O,X,0.6357558,0
3,-1,1,X,O,0.636569,0
4,-1,1,O,X,0.37628213,0
5,-1,1,X,O,0.67765844,0
6,-1,1,O,X,0.59343576,0
7,-1,1,X,O,0.6626828,0
8,-1,1,O,X,0.78643084,0
9,-1,1,X,O,0.24233988,0
10,-1,1,O,X,0.57753825,0
11,-1,1,X,O,0.7109282,0
12,-1,1,O,X,0.55803883,0
13,-1,1,X,O,0.6564113,0
14,-1,1,O,X,0.6753504,0
15,-1,1,X,O,0.57814837,0
16,-1,1,O,X,1.7187972,0
17,-1,1,X,O,0.52818406,0
18,-1,1,O,X,0.65961945,0
19,-1,1,X,O,0.31389293,0
20,-1,1,O,X,0.46193537,0
21,-1,1,X,O,0.5707214,0
22,-1,1,O,X,0.6380391,0
23,-1,1,X,O,0.52298105,0
24,-1,1,O,X,0.5419557,0
25,-1,1,X,O,0.50115323,0
26,-1,1,O,X,0.60310686,0
27,-1,1,X,O,0.5779226,0
28,-1,1,O,X,0.70005417,0
29,-1,1,X,O,0.7118131,0
30,-1,1,O,X,0.35667667,0
31,-1,1,X,O,0.47987437,0
32,-1,1,O,X,0.5137129,0
33,-1,1,X,O,0.26122978,0
34,-1,1,O,X,0.49368814,0
35,-1,1,X,O,0.5138538,0
36,-1,1,O,X,0.54941404,0
37,-1,1,X,O,0.42819104,0
38,-1,1,O,X,0.5266427,0
39,-1,1,X,O,0.44849688,0
40,-1,1,O,X,0.4726543,0
41,1,-1,X,O,0.55125165,0
42,-1,1,O,X,0.46982685,0
43,-1,1,X,O,0.4446597,0
44,-1,1,O,X,0.44220743,0
45,-1,1,X,O,0.51947105,0
46,-1,1,O,X,0.46387768,0
47,-1,1,X,O,0.4816773,0
48,-1,1,O,X,0.6207614,0
49,-1,1,X,O,0.51238525,0
50,-1,1,O,X,0.46049395,0
51,-1,1,X,O,0.5200255,0
52,-1,1,O,X,0.4821075,0
53,-1,1,X,O,0.44765761,0
54,-1,1,O,X,0.49910697,0
55,-1,1,X,O,0.4425623,0
56,-1,1,O,X,0.27019006,0
57,-1,1,X,O,0.26428893,0
58,-1,1,O,X,0.46761408,0
59,-1,1,X,O,0.3311664,0
60,-1,1,O,X,0.49915135,0
61,-1,1,X,O,0.46880648,0
62,-1,1,O,X,0.3556628,0
63,-1,1,X,O,0.48000914,0
64,-1,1,O,X,0.509372,0
65,-1,1,X,O,0.351086,0
66,-1,1,O,X,0.43183133,0
67,-1,1,X,O,0.32995513,0
68,-1,1,O,X,0.33119273,0
69,-1,1,X,O,0.33255807,0
70,-1,1,O,X,0.42591354,0
71,-1,1,X,O,0.4457887,0
72,-1,1,O,X,0.38855886,0
73,-1,1,X,O,0.3073562,0
74,-1,1,O,X,0.3445721,0
75,-1,1,X,O,0.61854446,0
76,-1,1,O,X,0.2495019,0
77,-1,1,X,O,0.3493916,0
78,-1,1,O,X,0.33447412,0
79,0,0,X,O,0.1785108,0
80,-1,1,O,X,0.25722536,0
81,-1,1,X,O,0.27854306,0
82,0,0,O,X,0.2750155,0
83,-1,1,X,O,0.20426998,0
84,-1,1,O,X,0.34153715,0
85,-1,1,X,O,0.46154398,0
86,-1,1,O,X,0.5702661,0
87,-1,1,X,O,0.38082412,0
88,-1,1,O,X,0.2692497,0
89,-1,1,X,O,0.40630603,0
90,-1,1,O,X,0.27892622,0
91,-1,1,X,O,0.21161464,0
92,0,0,O,X,0.35731035,0
93,-1,1,X,O,0.23607658,0
94,-1,1,O,X,0.28505903,0
95,-1,1,X,O,0.21134019,0
96,-1,1,O,X,0.07271049,0
97,-1,1,X,O,0.32857946,0
98,-1,1,O,X,0.41416192,0
99,-1,1,X,O,0.22771837,0
100,-1,1,O,X,0.43371323,0
101,-1,1,X,O,0.4936774,0
102,-1,1,O,X,0.26247928,0
103,-1,1,X,O,0.37973458,0
104,-1,1,O,X,0.22317773,0
105,-1,1,X,O,0.3695583,0
106,-1,1,O,X,0.2242103,0
107,-1,1,X,O,0.20658717,0
108,-1,1,O,X,0.40439793,0
109,0,0,X,O,0.33200452,0
110,1,-1,O,X,0.67131925,0
111,-1,1,X,O,0.3142276,0
112,-1,1,O,X,0.32135704,0
113,1,-1,X,O,0.72256136,0
114,-1,1,O,X,0.40770546,0
115,-1,1,X,O,0.41922536,0
116,1,-1,O,X,0.64953446,0
117,-1,1,X,O,0.35153475,0
118,-1,1,O,X,0.40598565,0
119,-1,1,X,O,0.34013313,0
120,-1,1,O,X,0.29648554,0
121,-1,1,X,O,0.2531858,0
122,-1,1,O,X,0.29081997,0
123,-1,1,X,O,0.22570777,0
124,-1,1,O,X,0.306321,0
125,-1,1,X,O,0.31244323,0
126,-1,1,O,X,0.3998249,0
127,-1,1,X,O,0.22523133,0
128,-1,1,O,X,0.24931401,0
129,-1,1,X,O,0.28085652,0
130,-1,1,O,X,0.2700051,0
131,1,-1,X,O,0.8323631,0
132,1,-1,O,X,0.71318865,0
133,-1,1,X,O,0.37702438,0
134,-1,1,O,X,0.4187438,0
135,-1,1,X,O,0.18363574,0
136,-1,1,O,X,0.19261508,0
137,-1,1,X,O,0.34176704,0
138,-1,1,O,X,0.37369645,0
139,-1,1,X,O,0.36915216,0
140,-1,1,O,X,0.45121223,0
141,-1,1,X,O,0.40933806,0
142,-1,1,O,X,0.32328004,0
143,-1,1,X,O,0.13457175,0
144,-1,1,O,X,0.39210522,0
145,-1,1,X,O,0.42564335,0
146,-1,1,O,X,1.0451283,0
147,0,0,X,O,0.13343538,0
148,-1,1,O,X,0.2872081,0
149,1,-1,X,O,0.45742834,0
150,-1,1,O,X,0.41687602,0
151,-1,1,X,O,0.47687092,0
152,-1,1,O,X,0.48754987,0
153,-1,1,X,O,0.47201058,0
154,1,-1,O,X,0.3969806,0
155,-1,1,X,O,0.35252926,0
156,-1,1,O,X,0.45370805,0
157,-1,1,X,O,0.50686157,0
158,-1,1,O,X,0.47408414,0
159,-1,1,X,O,0.3730327,0
160,-1,1,O,X,0.19092268,0
161,-1,1,X,O,0.35452557,0
162,-1,1,O,X,0.28661758,0
163,-1,1,X,O,0.13463049,0
164,-1,1,O,X,0.31402215,0
165,-1,1,X,O,0.36906368,0
166,-1,1,O,X,0.5244392,0
167,-1,1,X,O,0.49017045,0
168,-1,1,O,X,0.5448183,0
169,-1,1,X,O,0.17275384,0
170,-1,1,O,X,0.3017864,0
171,-1,1,X,O,0.39318338,0
172,-1,1,O,X,0.36181855,0
173,-1,1,X,O,0.29211468,0
174,-1,1,O,X,0.33407423,0
175,-1,1,X,O,0.20186396,0
176,-1,1,O,X,0.28145093,0
177,1,-1,X,O,0.7674588,0
178,-1,1,O,X,1.2660893,0
179,-1,1,X,O,0.09637432,0
180,-1,1,O,X,0.41475788,0
181,-1,1,X,O,0.054278456,0
182,-1,1,O,X,0.2480139,0
183,-1,1,X,O,0.19147763,0
184,-1,1,O,X,0.26198968,0
185,-1,1,X,O,0.33493838,0
186,-1,1,O,X,0.30566612,0
187,-1,1,X,O,0.36454824,0
