,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
248,249,X,O,0.030043570324778557,0,-1.0,0.194,1
498,499,X,O,0.06626128405332565,0,-1.0,0.502,1
748,749,X,O,0.06544327735900879,0,-1.0,0.61,1
998,999,X,O,0.08398880064487457,0,-1.0,0.672,1
1248,1249,X,O,0.11863585561513901,0,-0.798,0.652,1
1498,1499,X,O,0.1183541864156723,0,-1.0,0.642,1
1748,1749,X,O,0.07750626653432846,0,-0.902,0.646,1
1998,1999,X,O,0.0867731124162674,0,-1.0,0.77,1
2248,2249,X,O,0.10511565208435059,0,-0.902,0.802,1
2498,2499,X,O,0.08485250920057297,0,-1.0,0.808,1
2748,2749,X,O,0.09105062484741211,0,-0.902,0.754,1
2998,2999,X,O,0.09111614525318146,0,-0.5,0.774,1
3248,3249,X,O,0.07559435069561005,0,-1.0,0.754,1
3498,3499,X,O,0.11224815249443054,0,-1.0,0.764,1
3748,3749,X,O,0.09078016877174377,0,-1.0,0.852,1
3998,3999,X,O,0.129322811961174,0,-1.0,0.846,1
4248,4249,X,O,0.0627531111240387,0,-1.0,0.836,1
4498,4499,X,O,0.08595940470695496,0,0.0,0.78,1
4748,4749,X,O,0.12477201223373413,0,-1.0,0.856,1
4998,4999,X,O,0.09586545825004578,0,0.0,0.828,1
5248,5249,X,O,0.10538055002689362,0,0.0,0.88,1
5498,5499,X,O,0.12958785891532898,0,-1.0,0.876,1
5748,5749,X,O,0.15703976154327393,0,0.0,0.86,1
5998,5999,X,O,0.08256156742572784,0,0.0,0.856,1
6248,6249,X,O,0.0958036407828331,0,0.0,0.86,1
6498,6499,X,O,0.11886230856180191,0,0.0,0.8,1
6748,6749,X,O,0.11123582720756531,0,0.0,0.848,1
6998,6999,X,O,0.06523796916007996,0,0.0,0.82,1
7248,7249,X,O,0.10789553076028824,0,-1.0,0.842,1
7498,7499,X,O,0.0872592180967331,0,0.0,0.796,1
7748,7749,X,O,0.07998562604188919,0,0.0,0.8,1
7998,7999,X,O,0.11225239932537079,0,-1.0,0.826,1
8248,8249,X,O,0.06114298105239868,0,0.0,0.844,1
8498,8499,X,O,0.05686470866203308,0,0.096,0.834,1
8748,8749,X,O,0.09911336749792099,0,0.0,0.85,1
8998,8999,X,O,0.07373549044132233,0,-1.0,0.828,1
9248,9249,X,O,0.07483893632888794,0,-1.0,0.834,1
9498,9499,X,O,0.09565761685371399,0,0.0,0.836,1
9748,9749,X,O,0.13553361594676971,0,-1.0,0.84,1
9998,9999,X,O,0.08364243805408478,0,-0.5,0.732,1
10248,10249,X,O,0.0884341299533844,0,-1.0,0.858,1
10498,10499,X,O,0.1445908099412918,0,-1.0,0.884,1
10748,10749,X,O,0.10023558139801025,0,-1.0,0.88,1
10998,10999,X,O,0.0943608507514,0,-1.0,0.848,1
11248,11249,X,O,0.12299729883670807,0,-0.5,0.846,1
11498,11499,X,O,0.03882961347699165,0,-1.0,0.836,1
11748,11749,X,O,0.07431279122829437,0,-1.0,0.842,1
11998,11999,X,O,0.07611603289842606,0,-1.0,0.846,1
12248,12249,X,O,0.0966009795665741,0,-0.402,0.828,1
12498,12499,X,O,0.1128283366560936,0,-1.0,0.814,1
12748,12749,X,O,0.11143120378255844,0,-0.792,0.77,1
12998,12999,X,O,0.0875379890203476,0,-1.0,0.858,1
13248,13249,X,O,0.09981429576873779,0,-1.0,0.86,1
13498,13499,X,O,0.10110163688659668,0,-0.902,0.816,1
13748,13749,X,O,0.09640608727931976,0,-1.0,0.832,1
13998,13999,X,O,0.0839821919798851,0,0.0,0.854,1
14248,14249,X,O,0.06432026624679565,0,0.194,0.848,1
14498,14499,X,O,0.07973150163888931,0,-1.0,0.836,1
14748,14749,X,O,0.12675124406814575,0,0.098,0.83,1
14998,14999,X,O,0.1212906539440155,0,-1.0,0.844,1
15248,15249,X,O,0.11546272039413452,0,-1.0,0.88,1
15498,15499,X,O,0.11500366032123566,0,0.194,0.884,1
15748,15749,X,O,0.10225997865200043,0,0.0,0.856,1
15998,15999,X,O,0.07965968549251556,0,-1.0,0.846,1
16248,16249,X,O,0.10535962879657745,0,0.0,0.824,1
16498,16499,X,O,0.08272592723369598,0,0.0,0.828,1
16748,16749,X,O,0.06958530843257904,0,0.096,0.854,1
16998,16999,X,O,0.08296918869018555,0,0.0,0.868,1
17248,17249,X,O,0.10467077791690826,0,0.0,0.798,1
17498,17499,X,O,0.07705113291740417,0,-1.0,0.84,1
17748,17749,X,O,0.08793320506811142,0,0.0,0.818,1
17998,17999,X,O,0.07783174514770508,0,0.0,0.816,1
18248,18249,X,O,0.12493686378002167,0,0.0,0.894,1
18498,18499,X,O,0.10239735245704651,0,0.0,0.88,1
18748,18749,X,O,0.1249433308839798,0,0.0,0.842,1
18998,18999,X,O,0.12629155814647675,0,0.0,0.848,1
19248,19249,X,O,0.11087143421173096,0,0.0,0.848,1
19498,19499,X,O,0.060574308037757874,0,0.0,0.838,1
19748,19749,X,O,0.05959082394838333,0,0.0,0.848,1
19998,19999,X,O,0.07344172894954681,0,0.0,0.856,1
248,249,X,O,0.022128436714410782,0,-0.72,-0.222,8000
498,499,X,O,0.0719577819108963,0,-1.0,0.28,8000
748,749,X,O,0.058387987315654755,0,-1.0,0.55,8000
998,999,X,O,0.07905028760433197,0,-1.0,0.698,8000
