,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
248,249,1,-1,X,O,0.08966989070177078,0.07284078747034073,-1.0,-0.468,0.0
498,499,1,-1,X,O,0.05360758677124977,0.04354964569211006,-1.0,-0.282,0.0
748,749,1,-1,X,O,0.10710860788822174,0.04766135662794113,-1.0,0.028,0.0
998,999,1,-1,X,O,0.10433700680732727,0.060717031359672546,-1.0,-0.21,0.0
1248,1249,1,-1,X,O,0.12135697901248932,0.10898905247449875,-1.0,-0.01,0.0
1498,1499,1,-1,X,O,0.06818114221096039,0.12407354265451431,-1.0,0.168,0.0
1748,1749,1,-1,X,O,0.12995679676532745,0.10867172479629517,-1.0,0.178,0.0
1998,1999,1,-1,X,O,0.0102041345089674,0.057569459080696106,-1.0,0.38,0.0
2248,2249,1,-1,X,O,0.09865153580904007,0.03837485611438751,-1.0,0.15,0.0
2498,2499,-1,1,X,O,0.031849831342697144,0.07135777920484543,-1.0,0.282,0.0
2748,2749,1,-1,X,O,0.06470751762390137,0.055931564420461655,-1.0,0.324,0.0
2998,2999,-1,1,X,O,0.05370600149035454,0.05288486182689667,-1.0,0.286,0.0
3248,3249,-1,1,X,O,0.06545668840408325,0.061795879155397415,-1.0,0.294,0.0
3498,3499,-1,1,X,O,0.09822604060173035,0.11007072031497955,-1.0,0.32,0.0
3748,3749,1,-1,X,O,0.09456335753202438,0.14790694415569305,-1.0,0.334,0.0
3998,3999,1,-1,X,O,0.13638940453529358,0.08582471311092377,-1.0,0.286,0.0
4248,4249,1,-1,X,O,0.12249304354190826,0.09650447219610214,-1.0,0.312,0.0
4498,4499,1,-1,X,O,0.1622459590435028,0.09009154140949249,-1.0,0.236,0.0
4748,4749,1,-1,X,O,0.0932547003030777,0.11548925936222076,-0.896,0.2,0.0
4998,4999,1,-1,X,O,0.10217532515525818,0.04996638000011444,-0.896,0.17,0.0
5248,5249,-1,1,X,O,0.05182993412017822,0.09570546448230743,-1.0,0.27,0.0
5498,5499,-1,1,X,O,0.03219585120677948,0.08158694207668304,-1.0,0.248,0.0
5748,5749,1,-1,X,O,0.014634155668318272,0.02537929266691208,-0.896,0.29,0.0
5998,5999,1,-1,X,O,0.05177810788154602,0.061037465929985046,-1.0,0.31,0.0
6248,6249,1,-1,X,O,0.09122155606746674,0.05161542072892189,-0.896,0.324,0.0
6498,6499,1,-1,X,O,0.00929098017513752,0.020794592797756195,-0.896,0.306,0.0
6748,6749,1,-1,X,O,0.0626768246293068,0.03905225545167923,-0.896,0.326,0.0
6998,6999,1,-1,X,O,0.04825102537870407,0.028561387211084366,-0.896,0.274,0.0
7248,7249,1,-1,X,O,0.020510300993919373,0.041550301015377045,-1.0,0.21,0.0
7498,7499,1,-1,X,O,0.0004482192452996969,0.00043327989988029003,-1.0,0.324,0.0
7748,7749,1,-1,X,O,0.00011190923396497965,0.0010388720547780395,-1.0,0.314,0.0
7998,7999,1,-1,X,O,2.2715765226166695e-05,4.4719607103616e-05,-1.0,0.266,0.0
8248,8249,1,-1,X,O,0.0002075237425742671,0.00011432166502345353,-1.0,0.228,0.0
8498,8499,1,-1,X,O,0.0233084037899971,4.326736234361306e-05,-1.0,0.194,0.0
8748,8749,1,-1,X,O,0.00013111060252413154,0.00043268981971777976,-1.0,0.178,0.0
8998,8999,1,-1,X,O,0.0006618940969929099,0.0002995017566718161,-1.0,0.096,0.0
