,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
248,249,1,-1,X,O,0.06583768874406815,0.05223467946052551,-1.0,-0.024,1
498,499,1,-1,X,O,0.11780442297458649,0.09132114052772522,-1.0,0.466,1
748,749,-1,1,X,O,0.05724675953388214,0.059256162494421005,-1.0,0.596,1
998,999,1,-1,X,O,0.09074639528989792,0.06607066094875336,-1.0,0.538,1
1248,1249,-1,1,X,O,0.09309399873018265,0.07494349777698517,-0.5,0.648,1
1498,1499,1,-1,X,O,0.07549639791250229,0.08615222573280334,-0.5,0.688,1
1748,1749,-1,1,X,O,0.0653940886259079,0.05697012320160866,-1.0,0.654,1
1998,1999,-1,1,X,O,0.09226386994123459,0.07869471609592438,-0.718,0.692,1
2248,2249,-1,1,X,O,0.08931412547826767,0.03941161185503006,-0.5,0.732,1
2498,2499,-1,1,X,O,0.07990549504756927,0.06012650206685066,-1.0,0.678,1
2748,2749,-1,1,X,O,0.06395229697227478,0.04172421246767044,-1.0,0.728,1
2998,2999,-1,1,X,O,0.04087262228131294,0.06266532838344574,-0.902,0.768,1
3248,3249,-1,1,X,O,0.04457302391529083,0.10813528299331665,-0.902,0.71,1
3498,3499,1,-1,X,O,0.02750542014837265,0.04912280663847923,-0.702,0.778,1
3748,3749,-1,1,X,O,0.03960087150335312,0.04016319662332535,-0.806,0.752,1
3998,3999,-1,1,X,O,0.049989305436611176,0.052458856254816055,-0.806,0.794,1
4248,4249,-1,1,X,O,0.058490462601184845,0.06739088892936707,-0.806,0.804,1
4498,4499,1,-1,X,O,0.044320590794086456,0.04267856478691101,-0.694,0.82,1
4748,4749,1,-1,X,O,0.04152478650212288,0.06612147390842438,-0.962,0.714,1
4998,4999,-1,1,X,O,0.02748718112707138,0.035550281405448914,-0.7,0.758,1
5248,5249,1,-1,X,O,0.051822762936353683,0.07544668018817902,-0.604,0.824,1
5498,5499,1,-1,X,O,0.06820796430110931,0.06642096489667892,-0.704,0.796,1
5748,5749,-1,1,X,O,0.0376366525888443,0.09721958637237549,-0.45,0.798,1
5998,5999,1,-1,X,O,0.1553027629852295,0.11065734922885895,-0.596,0.742,1
6248,6249,-1,1,X,O,0.10004536062479019,0.10410740971565247,-0.39,0.744,1
6498,6499,1,-1,X,O,0.053674452006816864,0.08807288110256195,-0.194,0.728,1
6748,6749,1,-1,X,O,0.11037763953208923,0.05213610827922821,0.0,0.75,1
6998,6999,-1,1,X,O,0.09120325744152069,0.10182016342878342,-0.5,0.77,1
7248,7249,1,-1,X,O,0.0857895165681839,0.05328528583049774,-0.5,0.832,1
7498,7499,1,-1,X,O,0.05784149840474129,0.08326303958892822,-0.202,0.778,1
7748,7749,-1,1,X,O,0.09021924436092377,0.05568617209792137,-0.8,0.756,1
7998,7999,-1,1,X,O,0.11759092658758163,0.06505023688077927,0.402,0.8,1
8248,8249,-1,1,X,O,0.09031859040260315,0.047660090029239655,-0.196,0.792,1
8498,8499,-1,1,X,O,0.05321718379855156,0.10257038474082947,-0.598,0.856,1
8748,8749,-1,1,X,O,0.06397029757499695,0.11902225017547607,-0.098,0.808,1
8998,8999,-1,1,X,O,0.05345475301146507,0.072455033659935,-0.598,0.708,1
9248,9249,-1,1,X,O,0.07388611137866974,0.07108007371425629,0.402,0.74,1
9498,9499,0,0,X,O,0.015944495797157288,0.0380895733833313,-0.694,0.782,1
9748,9749,-1,1,X,O,0.06301943957805634,0.03976719081401825,-0.694,0.744,1
9998,9999,1,-1,X,O,0.08059199899435043,0.08789324760437012,-0.694,0.764,1
10248,10249,-1,1,X,O,0.04562126472592354,0.06263824552297592,-0.584,0.804,1
10498,10499,-1,1,X,O,0.05525518208742142,0.0884828269481659,-0.186,0.748,1
10748,10749,1,-1,X,O,0.08093176782131195,0.06293521076440811,-0.188,0.798,1
10998,10999,0,0,X,O,0.0625237226486206,0.07605445384979248,-0.218,0.69,1
11248,11249,-1,1,X,O,0.10947467386722565,0.08654992282390594,-0.382,0.682,1
11498,11499,1,-1,X,O,0.06332001090049744,0.045421261340379715,0.0,0.672,1
11748,11749,-1,1,X,O,0.06700940430164337,0.07984291017055511,0.0,0.818,1
11998,11999,1,-1,X,O,0.06608477979898453,0.028904998674988747,-0.806,0.712,1
12248,12249,1,-1,X,O,0.06470108777284622,0.11053435504436493,-0.23,0.808,1
12498,12499,-1,1,X,O,0.08454200625419617,0.0852997899055481,-0.694,0.682,1
12748,12749,1,-1,X,O,0.08815419673919678,0.06243329867720604,-0.096,0.816,1
12998,12999,-1,1,X,O,0.05813727527856827,0.07435207068920135,-0.604,0.786,1
13248,13249,1,-1,X,O,0.06267211586236954,0.05988595262169838,-0.596,0.748,1
13498,13499,1,-1,X,O,0.026494788005948067,0.04322980344295502,0.202,0.69,1
13748,13749,-1,1,X,O,0.048407912254333496,0.03463437780737877,-0.702,0.762,1
13998,13999,1,-1,X,O,0.060162030160427094,0.07437822967767715,0.202,0.74,1
14248,14249,1,-1,X,O,0.11631636321544647,0.021735472604632378,-0.202,0.814,1
14498,14499,-1,1,X,O,0.035835739225149155,0.06905709952116013,-0.798,0.77,1
14748,14749,1,-1,X,O,0.03173496946692467,0.04207110032439232,-0.798,0.75,1
14998,14999,-1,1,X,O,0.056108586490154266,0.06490230560302734,-0.7,0.714,1
15248,15249,-1,1,X,O,0.08636117726564407,0.0596691370010376,-0.896,0.734,1
15498,15499,-1,1,X,O,0.035216979682445526,0.07075386494398117,-0.194,0.778,1
15748,15749,-1,1,X,O,0.04714538902044296,0.06104722619056702,0.298,0.764,1
15998,15999,-1,1,X,O,0.07466909289360046,0.08514799177646637,-0.696,0.768,1
16248,16249,-1,1,X,O,0.09273373335599899,0.029456133022904396,-0.098,0.696,1
16498,16499,1,-1,X,O,0.01617630571126938,0.04474647343158722,-0.702,0.788,1
16748,16749,-1,1,X,O,0.04147035628557205,0.028468554839491844,-0.792,0.804,1
16998,16999,1,-1,X,O,0.045763690024614334,0.06577642261981964,-0.318,0.812,1
17248,17249,-1,1,X,O,0.03680051118135452,0.0635538399219513,-0.194,0.858,1
17498,17499,0,0,X,O,0.06566161662340164,0.07518189400434494,-0.58,0.752,1
17748,17749,-1,1,X,O,0.10539999604225159,0.02598816156387329,-0.604,0.744,1
17998,17999,1,-1,X,O,0.06577426195144653,0.09470155090093613,-0.532,0.77,1
18248,18249,1,-1,X,O,0.07238391786813736,0.06278336048126221,-0.694,0.786,1
18498,18499,1,-1,X,O,0.035391755402088165,0.08175806701183319,-0.226,0.752,1
18748,18749,-1,1,X,O,0.04824294149875641,0.04906555265188217,-0.57,0.75,1
18998,18999,1,-1,X,O,0.11491858959197998,0.11633244901895523,-0.604,0.714,1
19248,19249,1,-1,X,O,0.06161093711853027,0.08990586549043655,-0.694,0.658,1
19498,19499,-1,1,X,O,0.06697256118059158,0.07057970017194748,-0.598,0.78,1
19748,19749,-1,1,X,O,0.0772453173995018,0.06751146912574768,-0.524,0.81,1
19998,19999,-1,1,X,O,0.11535458266735077,0.09467191994190216,-0.896,0.806,1
248,249,1,-1,X,O,0.059854090213775635,0.08779700845479965,-0.76,0.568,8000
498,499,-1,1,X,O,0.10740621387958527,0.056624043732881546,0.104,0.616,8000
748,749,1,-1,X,O,0.08525671064853668,0.06673085689544678,-1.0,0.744,8000
998,999,1,-1,X,O,0.08620184659957886,0.0768120139837265,-1.0,0.69,8000
1248,1249,1,-1,X,O,0.10902932286262512,0.07893823087215424,-1.0,0.806,8000
1498,1499,1,-1,X,O,0.09700766205787659,0.06285729259252548,-1.0,0.772,8000
1748,1749,-1,1,X,O,0.07548458129167557,0.055992208421230316,-1.0,0.74,8000
1998,1999,-1,1,X,O,0.07034917175769806,0.10090629756450653,-0.728,0.83,8000
2248,2249,-1,1,X,O,0.09541814774274826,0.0662686675786972,-0.868,0.846,8000
2498,2499,1,-1,X,O,0.06809615343809128,0.041754499077796936,-1.0,0.814,8000
2748,2749,1,-1,X,O,0.09428967535495758,0.09179273992776871,-0.764,0.86,8000
2998,2999,0,0,X,O,0.07261820137500763,0.0719258040189743,-0.75,0.834,8000
3248,3249,1,-1,X,O,0.10556833446025848,0.0830463320016861,-0.868,0.786,8000
3498,3499,1,-1,X,O,0.07270202040672302,0.07811850309371948,-0.766,0.808,8000
3748,3749,1,-1,X,O,0.07319129258394241,0.05570720136165619,-0.728,0.856,8000
3998,3999,1,-1,X,O,0.09514409303665161,0.10135526955127716,-0.548,0.852,8000
4248,4249,-1,1,X,O,0.10051481425762177,0.05853183567523956,-0.798,0.874,8000
4498,4499,1,-1,X,O,0.06918711960315704,0.07785683125257492,-0.466,0.756,8000
4748,4749,1,-1,X,O,0.09465252608060837,0.08060067147016525,-0.23,0.81,8000
4998,4999,1,-1,X,O,0.12500810623168945,0.10221737623214722,-0.778,0.84,8000
5248,5249,-1,1,X,O,0.12018817663192749,0.11213818192481995,-0.558,0.804,8000
5498,5499,1,-1,X,O,0.0809004008769989,0.0884082168340683,-0.676,0.866,8000
5748,5749,-1,1,X,O,0.11737007647752762,0.10741885751485825,-0.358,0.862,8000
5998,5999,-1,1,X,O,0.06684436649084091,0.08807532489299774,-0.428,0.862,8000
6248,6249,1,-1,X,O,0.05739126726984978,0.057168640196323395,-0.642,0.844,8000
6498,6499,1,-1,X,O,0.07694511860609055,0.12798872590065002,-0.344,0.858,8000
6748,6749,0,0,X,O,0.10656477510929108,0.12167323380708694,-0.484,0.848,8000
6998,6999,-1,1,X,O,0.11609899997711182,0.10862217843532562,-0.382,0.802,8000
7248,7249,1,-1,X,O,0.05680650845170021,0.06744527071714401,-0.436,0.84,8000
7498,7499,-1,1,X,O,0.04895464703440666,0.10758133977651596,-0.708,0.818,8000
7748,7749,-1,1,X,O,0.04556380957365036,0.05742696300148964,-0.664,0.84,8000
7998,7999,-1,1,X,O,0.06988547742366791,0.09119080007076263,-0.564,0.826,8000
8248,8249,-1,1,X,O,0.03624938800930977,0.06991326808929443,-0.248,0.82,8000
8498,8499,-1,1,X,O,0.09653174877166748,0.0743703544139862,-0.06,0.83,8000
8748,8749,0,0,X,O,0.051125749945640564,0.034145332872867584,0.298,0.834,8000
8998,8999,-1,1,X,O,0.08342734724283218,0.09039503335952759,-0.702,0.82,8000
9248,9249,1,-1,X,O,0.075528584420681,0.05555163696408272,-0.702,0.81,8000
9498,9499,-1,1,X,O,0.04108753427863121,0.04585188627243042,0.402,0.778,8000
9748,9749,-1,1,X,O,0.043795544654130936,0.042172931134700775,-0.598,0.814,8000
9998,9999,-1,1,X,O,0.09276828169822693,0.056791000068187714,-0.5,0.778,8000
10248,10249,-1,1,X,O,0.10145121812820435,0.08033812791109085,0.0,0.798,8000
10498,10499,-1,1,X,O,0.05835353583097458,0.025416476652026176,0.0,0.77,8000
10748,10749,-1,1,X,O,0.038711197674274445,0.07979066669940948,-0.5,0.796,8000
10998,10999,-1,1,X,O,0.047456271946430206,0.0443241186439991,-0.5,0.8,8000
11248,11249,-1,1,X,O,0.026619452983140945,0.06281512975692749,-0.708,0.65,8000
11498,11499,0,0,X,O,0.02500760927796364,0.0406702384352684,0.116,0.746,8000
11748,11749,-1,1,X,O,0.020035110414028168,0.04806448146700859,-0.196,0.686,8000
11998,11999,-1,1,X,O,0.04065714403986931,0.06784768402576447,0.0,0.768,8000
12248,12249,1,-1,X,O,0.0757482498884201,0.014632291160523891,-0.5,0.77,8000
12498,12499,0,0,X,O,0.06233171373605728,0.03026781789958477,-0.202,0.76,8000
12748,12749,-1,1,X,O,0.07923895865678787,0.10213954746723175,-0.5,0.728,8000
12998,12999,-1,1,X,O,0.04718645662069321,0.05598669871687889,-0.282,0.782,8000
13248,13249,1,-1,X,O,0.0947776734828949,0.09852486848831177,-0.382,0.826,8000
13498,13499,-1,1,X,O,0.07684585452079773,0.11959385126829147,-0.364,0.816,8000
13748,13749,1,-1,X,O,0.04844950884580612,0.0737510621547699,-0.496,0.808,8000
13998,13999,-1,1,X,O,0.09568080306053162,0.13846038281917572,0.396,0.788,8000
14248,14249,-1,1,X,O,0.05616685748100281,0.06894069164991379,-0.604,0.798,8000
14498,14499,0,0,X,O,0.08897978067398071,0.04893232882022858,-0.702,0.81,8000
14748,14749,-1,1,X,O,0.04678570479154587,0.06985095143318176,0.5,0.848,8000
14998,14999,1,-1,X,O,0.07742521911859512,0.04137644171714783,-0.5,0.782,8000
15248,15249,0,0,X,O,0.06430473923683167,0.056920237839221954,-0.5,0.75,8000
15498,15499,1,-1,X,O,0.09407718479633331,0.04219517111778259,0.0,0.724,8000
15748,15749,-1,1,X,O,0.07291807979345322,0.058257266879081726,-0.5,0.82,8000
15998,15999,1,-1,X,O,0.05921246111392975,0.046094123274087906,-0.598,0.774,8000
16248,16249,-1,1,X,O,0.06451207399368286,0.02065625786781311,-0.5,0.758,8000
16498,16499,0,0,X,O,0.014088817872107029,0.05447855964303017,0.5,0.772,8000
16748,16749,-1,1,X,O,0.05620245262980461,0.048106953501701355,-0.5,0.714,8000
16998,16999,-1,1,X,O,0.029497414827346802,0.05416013300418854,0.298,0.772,8000
17248,17249,-1,1,X,O,0.056655481457710266,0.08758102357387543,-0.702,0.836,8000
17498,17499,1,-1,X,O,0.039380598813295364,0.022894931957125664,0.5,0.732,8000
17748,17749,1,-1,X,O,0.02927916869521141,0.07024013996124268,0.0,0.682,8000
17998,17999,-1,1,X,O,0.05931553617119789,0.030805960297584534,-0.5,0.752,8000
18248,18249,-1,1,X,O,0.05298786610364914,0.02132824808359146,-0.702,0.738,8000
18498,18499,-1,1,X,O,0.015433093532919884,0.0367455929517746,-0.702,0.758,8000
18748,18749,1,-1,X,O,0.013691422529518604,0.008607899770140648,-0.202,0.778,8000
18998,18999,0,0,X,O,0.07459147274494171,0.04122486710548401,-0.702,0.676,8000
19248,19249,-1,1,X,O,0.02807963453233242,0.03601709008216858,-0.598,0.696,8000
19498,19499,-1,1,X,O,0.07063159346580505,0.1135634183883667,-0.604,0.764,8000
19748,19749,1,-1,X,O,0.09588044136762619,0.043328579515218735,-0.806,0.812,8000
19998,19999,-1,1,X,O,0.035019293427467346,0.0904788076877594,-0.694,0.784,8000
248,249,-1,1,X,O,0.048848122358322144,0.05018963664770126,-1.0,0.38,16000
498,499,1,-1,X,O,0.09919170290231705,0.0626780241727829,-1.0,0.564,16000
748,749,1,-1,X,O,0.07565519213676453,0.061247456818819046,-1.0,0.71,16000
998,999,1,-1,X,O,0.11533737182617188,0.06793992221355438,-1.0,0.75,16000
1248,1249,1,-1,X,O,0.07592988014221191,0.11187214404344559,-1.0,0.718,16000
1498,1499,-1,1,X,O,0.07997219264507294,0.04993697255849838,-1.0,0.716,16000
1748,1749,-1,1,X,O,0.08745934069156647,0.05690166354179382,-0.5,0.762,16000
1998,1999,1,-1,X,O,0.06700798124074936,0.09900365769863129,-1.0,0.794,16000
2248,2249,1,-1,X,O,0.09211656451225281,0.04986916109919548,-1.0,0.838,16000
2498,2499,1,-1,X,O,0.11720328032970428,0.0728130042552948,-1.0,0.838,16000
2748,2749,1,-1,X,O,0.08419016003608704,0.07688036561012268,-1.0,0.78,16000
2998,2999,1,-1,X,O,0.04879405349493027,0.10043444484472275,-0.798,0.846,16000
