n_star,bins,game,reward_1,reward_2
1,250,125.5,-0.176,0.176
1,500,375.5,-0.052,0.052
1,750,625.5,0.08,-0.08
1,1000,875.5,0.06,-0.06
1,1250,1125.5,0.024,-0.024
1,1500,1375.5,0.1,-0.1
1,1750,1625.5,-0.012,0.012
1,2000,1875.5,0.116,-0.116
1,2250,2125.5,0.196,-0.196
1,2500,2375.5,0.08,-0.08
1,2750,2625.5,0.124,-0.124
1,3000,2875.5,0.104,-0.104
1,3250,3125.5,0.088,-0.088
1,3500,3375.5,0.068,-0.068
1,3750,3625.5,0.1,-0.1
1,4000,3875.5,0.204,-0.204
1,4250,4125.5,0.092,-0.092
1,4500,4375.5,0.008,-0.008
1,4750,4625.5,-0.048,0.048
1,5000,4875.5,0.116,-0.116
1,5250,5125.5,0.152,-0.152
1,5500,5375.5,0.096,-0.096
1,5750,5625.5,0.128,-0.128
1,6000,5875.5,0.204,-0.204
1,6250,6125.5,0.156,-0.156
1,6500,6375.5,0.164,-0.164
1,6750,6625.5,0.148,-0.148
1,7000,6875.5,0.212,-0.212
1,7250,7125.5,0.256,-0.256
1,7500,7375.5,0.14,-0.14
1,7750,7625.5,0.188,-0.188
1,8000,7875.5,0.08,-0.08
1,8250,8125.5,0.14,-0.14
1,8500,8375.5,0.18,-0.18
1,8750,8625.5,0.152,-0.152
1,9000,8875.5,0.132,-0.132
1,9250,9125.5,0.236,-0.236
1,9500,9375.5,0.216,-0.216
1,9750,9625.5,0.208,-0.208
1,10000,9875.5,0.172,-0.172
1,10250,10125.5,0.084,-0.084
1,10500,10375.5,0.236,-0.236
1,10750,10625.5,0.252,-0.252
1,11000,10875.5,0.192,-0.192
1,11250,11125.5,0.084,-0.084
1,11500,11375.5,0.224,-0.224
1,11750,11625.5,0.1,-0.1
1,12000,11875.5,0.252,-0.252
1,12250,12125.5,0.224,-0.224
1,12500,12375.5,0.236,-0.236
1,12750,12625.5,0.22,-0.22
1,13000,12875.5,0.184,-0.184
1,13250,13125.5,0.18,-0.18
1,13500,13375.5,0.108,-0.108
1,13750,13625.5,0.144,-0.144
1,14000,13875.5,0.232,-0.232
1,14250,14125.5,0.172,-0.172
1,14500,14375.5,0.212,-0.212
1,14750,14625.5,0.212,-0.212
1,15000,14875.5,0.216,-0.216
1,15250,15125.5,0.08,-0.08
1,15500,15375.5,0.152,-0.152
1,15750,15625.5,0.176,-0.176
1,16000,15875.5,0.22,-0.22
1,16250,16125.5,0.22,-0.22
1,16500,16375.5,0.224,-0.224
1,16750,16625.5,0.16,-0.16
1,17000,16875.5,0.192,-0.192
1,17250,17125.5,0.196,-0.196
1,17500,17375.5,0.104,-0.104
1,17750,17625.5,0.164,-0.164
1,18000,17875.5,0.244,-0.244
1,18250,18125.5,0.228,-0.228
1,18500,18375.5,0.092,-0.092
1,18750,18625.5,0.176,-0.176
1,19000,18875.5,0.224,-0.224
1,19250,19125.5,0.104,-0.104
1,19500,19375.5,0.168,-0.168
1,19750,19625.5,0.184,-0.184
1,20000,19875.5,0.172,-0.172
4000,250,125.5,-0.476,0.476
4000,500,375.5,-0.512,0.512
4000,750,625.5,-0.468,0.468
4000,1000,875.5,-0.432,0.432
4000,1250,1125.5,-0.424,0.424
4000,1500,1375.5,-0.308,0.308
4000,1750,1625.5,-0.376,0.376
4000,2000,1875.5,-0.308,0.308
4000,2250,2125.5,-0.116,0.116
4000,2500,2375.5,-0.064,0.064
4000,2750,2625.5,-0.136,0.136
4000,3000,2875.5,-0.004,0.004
4000,3250,3125.5,0.036,-0.036
4000,3500,3375.5,-0.004,0.004
4000,3750,3625.5,0.18,-0.18
4000,4000,3875.5,0.164,-0.164
4000,4250,4125.5,0.056,-0.056
4000,4500,4375.5,0.264,-0.264
4000,4750,4625.5,0.084,-0.084
4000,5000,4875.5,0.116,-0.116
4000,5250,5125.5,0.06,-0.06
4000,5500,5375.5,0.256,-0.256
4000,5750,5625.5,-0.02,0.02
4000,6000,5875.5,0.108,-0.108
4000,6250,6125.5,0.248,-0.248
4000,6500,6375.5,0.152,-0.152
4000,6750,6625.5,0.132,-0.132
4000,7000,6875.5,0.092,-0.092
4000,7250,7125.5,0.176,-0.176
4000,7500,7375.5,0.24,-0.24
4000,7750,7625.5,0.152,-0.152
4000,8000,7875.5,0.176,-0.176
4000,8250,8125.5,0.296,-0.296
4000,8500,8375.5,0.128,-0.128
4000,8750,8625.5,0.088,-0.088
4000,9000,8875.5,0.184,-0.184
4000,9250,9125.5,0.2,-0.2
4000,9500,9375.5,0.196,-0.196
4000,9750,9625.5,0.152,-0.152
4000,10000,9875.5,0.076,-0.076
4000,10250,10125.5,0.224,-0.224
4000,10500,10375.5,0.136,-0.136
4000,10750,10625.5,0.212,-0.212
4000,11000,10875.5,0.14,-0.14
4000,11250,11125.5,0.12,-0.12
4000,11500,11375.5,0.164,-0.164
4000,11750,11625.5,0.188,-0.188
4000,12000,11875.5,0.172,-0.172
4000,12250,12125.5,0.184,-0.184
4000,12500,12375.5,0.18,-0.18
4000,12750,12625.5,0.16,-0.16
4000,13000,12875.5,0.128,-0.128
4000,13250,13125.5,0.156,-0.156
4000,13500,13375.5,0.156,-0.156
4000,13750,13625.5,0.16,-0.16
4000,14000,13875.5,0.124,-0.124
4000,14250,14125.5,0.128,-0.128
4000,14500,14375.5,0.208,-0.208
4000,14750,14625.5,0.188,-0.188
4000,15000,14875.5,0.176,-0.176
4000,15250,15125.5,0.228,-0.228
4000,15500,15375.5,0.216,-0.216
4000,15750,15625.5,0.188,-0.188
4000,16000,15875.5,0.228,-0.228
4000,16250,16125.5,0.22,-0.22
4000,16500,16375.5,0.208,-0.208
4000,16750,16625.5,0.116,-0.116
4000,17000,16875.5,0.208,-0.208
4000,17250,17125.5,0.264,-0.264
4000,17500,17375.5,0.112,-0.112
4000,17750,17625.5,0.188,-0.188
4000,18000,17875.5,0.252,-0.252
4000,18250,18125.5,0.184,-0.184
4000,18500,18375.5,0.116,-0.116
4000,18750,18625.5,0.188,-0.188
4000,19000,18875.5,0.232,-0.232
4000,19250,19125.5,0.332,-0.332
4000,19500,19375.5,0.228,-0.228
4000,19750,19625.5,0.264,-0.264
4000,20000,19875.5,0.208,-0.208
8000,250,125.5,-0.492,0.492
8000,500,375.5,-0.444,0.444
8000,750,625.5,-0.452,0.452
8000,1000,875.5,-0.472,0.472
8000,1250,1125.5,-0.376,0.376
8000,1500,1375.5,-0.46,0.46
8000,1750,1625.5,-0.424,0.424
8000,2000,1875.5,-0.328,0.328
8000,2250,2125.5,-0.36,0.36
8000,2500,2375.5,-0.328,0.328
8000,2750,2625.5,-0.404,0.404
8000,3000,2875.5,-0.336,0.336
8000,3250,3125.5,-0.2,0.2
8000,3500,3375.5,-0.368,0.368
8000,3750,3625.5,-0.232,0.232
8000,4000,3875.5,-0.24,0.24
8000,4250,4125.5,-0.196,0.196
8000,4500,4375.5,-0.152,0.152
8000,4750,4625.5,-0.196,0.196
8000,5000,4875.5,-0.116,0.116
8000,5250,5125.5,-0.096,0.096
8000,5500,5375.5,-0.036,0.036
8000,5750,5625.5,0.056,-0.056
8000,6000,5875.5,-0.012,0.012
8000,6250,6125.5,0.032,-0.032
8000,6500,6375.5,0.148,-0.148
8000,6750,6625.5,0.024,-0.024
8000,7000,6875.5,0.088,-0.088
8000,7250,7125.5,0.144,-0.144
8000,7500,7375.5,0.128,-0.128
8000,7750,7625.5,0.052,-0.052
8000,8000,7875.5,0.152,-0.152
8000,8250,8125.5,0.152,-0.152
8000,8500,8375.5,0.212,-0.212
8000,8750,8625.5,0.164,-0.164
8000,9000,8875.5,0.208,-0.208
8000,9250,9125.5,0.176,-0.176
8000,9500,9375.5,0.24,-0.24
8000,9750,9625.5,0.2,-0.2
8000,10000,9875.5,0.132,-0.132
8000,10250,10125.5,0.196,-0.196
8000,10500,10375.5,0.22,-0.22
8000,10750,10625.5,0.208,-0.208
8000,11000,10875.5,0.208,-0.208
8000,11250,11125.5,0.18,-0.18
8000,11500,11375.5,0.184,-0.184
8000,11750,11625.5,0.136,-0.136
8000,12000,11875.5,0.192,-0.192
8000,12250,12125.5,0.128,-0.128
8000,12500,12375.5,0.232,-0.232
8000,12750,12625.5,0.144,-0.144
8000,13000,12875.5,0.188,-0.188
8000,13250,13125.5,0.212,-0.212
8000,13500,13375.5,0.144,-0.144
8000,13750,13625.5,0.144,-0.144
8000,14000,13875.5,0.2,-0.2
8000,14250,14125.5,0.12,-0.12
8000,14500,14375.5,0.212,-0.212
8000,14750,14625.5,0.152,-0.152
8000,15000,14875.5,0.188,-0.188
8000,15250,15125.5,0.192,-0.192
8000,15500,15375.5,0.188,-0.188
8000,15750,15625.5,0.248,-0.248
8000,16000,15875.5,0.176,-0.176
8000,16250,16125.5,0.172,-0.172
8000,16500,16375.5,0.216,-0.216
8000,16750,16625.5,0.188,-0.188
8000,17000,16875.5,0.152,-0.152
8000,17250,17125.5,0.316,-0.316
8000,17500,17375.5,0.164,-0.164
8000,17750,17625.5,0.188,-0.188
8000,18000,17875.5,0.148,-0.148
8000,18250,18125.5,0.124,-0.124
8000,18500,18375.5,0.228,-0.228
8000,18750,18625.5,0.252,-0.252
8000,19000,18875.5,0.216,-0.216
8000,19250,19125.5,0.176,-0.176
8000,19500,19375.5,0.144,-0.144
8000,19750,19625.5,0.128,-0.128
8000,20000,19875.5,0.164,-0.164
12000,250,125.5,-0.504,0.504
12000,500,375.5,-0.44,0.44
12000,750,625.5,-0.56,0.56
12000,1000,875.5,-0.476,0.476
12000,1250,1125.5,-0.496,0.496
12000,1500,1375.5,-0.452,0.452
12000,1750,1625.5,-0.384,0.384
12000,2000,1875.5,-0.468,0.468
12000,2250,2125.5,-0.424,0.424
12000,2500,2375.5,-0.364,0.364
12000,2750,2625.5,-0.38,0.38
12000,3000,2875.5,-0.376,0.376
12000,3250,3125.5,-0.384,0.384
12000,3500,3375.5,-0.376,0.376
12000,3750,3625.5,-0.296,0.296
12000,4000,3875.5,-0.208,0.208
12000,4250,4125.5,-0.336,0.336
12000,4500,4375.5,-0.312,0.312
12000,4750,4625.5,-0.248,0.248
12000,5000,4875.5,-0.236,0.236
12000,5250,5125.5,-0.24,0.24
12000,5500,5375.5,-0.184,0.184
12000,5750,5625.5,-0.168,0.168
12000,6000,5875.5,-0.16,0.16
12000,6250,6125.5,-0.168,0.168
12000,6500,6375.5,-0.244,0.244
12000,6750,6625.5,-0.196,0.196
12000,7000,6875.5,-0.176,0.176
12000,7250,7125.5,-0.024,0.024
12000,7500,7375.5,-0.032,0.032
12000,7750,7625.5,0.048,-0.048
12000,8000,7875.5,-0.016,0.016
12000,8250,8125.5,0.064,-0.064
12000,8500,8375.5,-0.036,0.036
12000,8750,8625.5,0.092,-0.092
12000,9000,8875.5,-0.024,0.024
12000,9250,9125.5,0.176,-0.176
12000,9500,9375.5,0.108,-0.108
12000,9750,9625.5,0.028,-0.028
12000,10000,9875.5,0.032,-0.032
12000,10250,10125.5,0.072,-0.072
12000,10500,10375.5,0.144,-0.144
12000,10750,10625.5,0.204,-0.204
12000,11000,10875.5,0.212,-0.212
12000,11250,11125.5,0.184,-0.184
12000,11500,11375.5,0.24,-0.24
12000,11750,11625.5,0.12,-0.12
12000,12000,11875.5,0.276,-0.276
12000,12250,12125.5,0.212,-0.212
12000,12500,12375.5,0.176,-0.176
12000,12750,12625.5,0.152,-0.152
12000,13000,12875.5,0.216,-0.216
12000,13250,13125.5,0.204,-0.204
12000,13500,13375.5,0.24,-0.24
12000,13750,13625.5,0.12,-0.12
12000,14000,13875.5,0.14,-0.14
12000,14250,14125.5,0.132,-0.132
12000,14500,14375.5,0.2,-0.2
12000,14750,14625.5,0.196,-0.196
12000,15000,14875.5,0.272,-0.272
12000,15250,15125.5,0.172,-0.172
12000,15500,15375.5,0.112,-0.112
12000,15750,15625.5,0.176,-0.176
12000,16000,15875.5,0.136,-0.136
12000,16250,16125.5,0.296,-0.296
12000,16500,16375.5,0.16,-0.16
12000,16750,16625.5,0.068,-0.068
12000,17000,16875.5,0.192,-0.192
12000,17250,17125.5,0.196,-0.196
12000,17500,17375.5,0.16,-0.16
12000,17750,17625.5,0.18,-0.18
12000,18000,17875.5,0.22,-0.22
12000,18250,18125.5,0.224,-0.224
12000,18500,18375.5,0.304,-0.304
12000,18750,18625.5,0.204,-0.204
12000,19000,18875.5,0.268,-0.268
12000,19250,19125.5,0.232,-0.232
12000,19500,19375.5,0.236,-0.236
12000,19750,19625.5,0.14,-0.14
12000,20000,19875.5,0.188,-0.188
16000,250,125.5,-0.42,0.42
16000,500,375.5,-0.512,0.512
16000,750,625.5,-0.552,0.552
16000,1000,875.5,-0.484,0.484
16000,1250,1125.5,-0.384,0.384
16000,1500,1375.5,-0.428,0.428
16000,1750,1625.5,-0.372,0.372
16000,2000,1875.5,-0.448,0.448
16000,2250,2125.5,-0.432,0.432
