game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
1,-1,1,X,O,0.0,0
2,-1,1,O,X,0.0,0
3,-1,1,X,O,0.0,0
4,-1,1,O,X,0.0,0
5,-1,1,X,O,0.0,0
6,-1,1,O,X,0.0,0
7,-1,1,X,O,0.0,0
8,-1,1,O,X,0.0,0
9,-1,1,X,O,0.0,0
10,-1,1,O,X,0.0,0
11,-1,1,X,O,0.0,0
12,-1,1,O,X,0.0,0
13,-1,1,X,O,0.0,0
14,-1,1,O,X,0.0,0
15,-1,1,X,O,0.0,0
16,-1,1,O,X,0.0,0
17,-1,1,X,O,0.0,0
18,-1,1,O,X,0.0,0
19,-1,1,X,O,0.0,0
20,-1,1,O,X,0.0,0
21,-1,1,X,O,0.0,0
22,-1,1,O,X,0.0,0
23,-1,1,X,O,0.0,0
24,-1,1,O,X,0.0,0
25,-1,1,X,O,0.0,0
26,-1,1,O,X,0.0,0
27,-1,1,X,O,0.0,0
28,-1,1,O,X,0.0,0
29,-1,1,X,O,0.0,0
30,-1,1,O,X,0.2879546880722046,0
31,-1,1,X,O,0.24915571510791779,0
32,-1,1,O,X,0.21759234368801117,0
33,-1,1,X,O,0.17559818923473358,0
34,1,-1,O,X,0.13779953122138977,0
35,-1,1,X,O,0.14154309034347534,0
36,-1,1,O,X,0.12395398318767548,0
37,-1,1,X,O,0.1125468760728836,0
38,-1,1,O,X,0.11052589118480682,0
39,-1,1,X,O,0.10555464029312134,0
40,-1,1,O,X,0.09999202191829681,0
41,-1,1,X,O,0.10170777142047882,0
42,-1,1,O,X,0.10240759700536728,0
43,-1,1,X,O,0.10432491451501846,0
44,-1,1,O,X,0.06252880394458771,0
45,-1,1,X,O,0.10063037276268005,0
46,-1,1,O,X,0.09924299269914627,0
47,-1,1,X,O,0.08450628072023392,0
48,-1,1,O,X,0.09225258231163025,0
49,-1,1,X,O,0.07578785717487335,0
50,-1,1,O,X,0.06928559392690659,0
51,-1,1,X,O,0.09004931151866913,0
52,-1,1,O,X,0.08650527894496918,0
53,1,-1,X,O,0.09593001008033752,0
54,-1,1,O,X,0.08708106726408005,0
55,-1,1,X,O,0.08099602907896042,0
56,-1,1,O,X,0.08927002549171448,0
57,1,-1,X,O,0.06694027036428452,0
58,-1,1,O,X,0.0732223317027092,0
59,1,-1,X,O,0.09025334566831589,0
60,-1,1,O,X,0.08004949986934662,0
61,-1,1,X,O,0.0701882541179657,0
62,-1,1,O,X,0.06268870830535889,0
63,-1,1,X,O,0.051588334143161774,0
64,1,-1,O,X,0.054556846618652344,0
65,-1,1,X,O,0.06614897400140762,0
66,-1,1,O,X,0.075868621468544,0
