,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
248,249,X,O,0.052287276834249496,0,-1.0,0.004,1
498,499,X,O,0.050823308527469635,0,-0.5,0.148,1
748,749,X,O,0.10343140363693237,0,-0.902,0.206,1
998,999,X,O,0.07958028465509415,0,-1.0,0.348,1
1248,1249,X,O,0.07198609411716461,0,-1.0,0.454,1
1498,1499,X,O,0.0842532068490982,0,-0.5,0.616,1
1748,1749,X,O,0.08637088537216187,0,-1.0,0.564,1
1998,1999,X,O,0.11629952490329742,0,-1.0,0.604,1
2248,2249,X,O,0.11497104167938232,0,-1.0,0.676,1
2498,2499,X,O,0.08182927966117859,0,-0.5,0.71,1
2748,2749,X,O,0.1433282196521759,0,-0.5,0.646,1
2998,2999,X,O,0.10036732256412506,0,-1.0,0.594,1
3248,3249,X,O,0.0867273136973381,0,-1.0,0.56,1
3498,3499,X,O,0.12280367314815521,0,-0.878,0.646,1
3748,3749,X,O,0.13475699722766876,0,-1.0,0.652,1
3998,3999,X,O,0.08979427069425583,0,-0.806,0.646,1
4248,4249,X,O,0.16213728487491608,0,-1.0,0.634,1
4498,4499,X,O,0.1565839946269989,0,-1.0,0.71,1
4748,4749,X,O,0.10417457669973373,0,-1.0,0.614,1
4998,4999,X,O,0.13313081860542297,0,-1.0,0.7,1
5248,5249,X,O,0.15650393068790436,0,-0.796,0.734,1
5498,5499,X,O,0.13961540162563324,0,0.0,0.57,1
5748,5749,X,O,0.19796986877918243,0,-1.0,0.688,1
5998,5999,X,O,0.10663500428199768,0,-1.0,0.658,1
6248,6249,X,O,0.13750405609607697,0,-1.0,0.74,1
6498,6499,X,O,0.1122027114033699,0,-1.0,0.644,1
6748,6749,X,O,0.1185971349477768,0,-1.0,0.776,1
6998,6999,X,O,0.09362944960594177,0,-1.0,0.796,1
7248,7249,X,O,0.15282239019870758,0,-1.0,0.728,1
7498,7499,X,O,0.12523946166038513,0,-1.0,0.778,1
7748,7749,X,O,0.1222061961889267,0,-1.0,0.824,1
7998,7999,X,O,0.08049336075782776,0,-1.0,0.73,1
8248,8249,X,O,0.1201360821723938,0,-1.0,0.82,1
8498,8499,X,O,0.10418996214866638,0,-1.0,0.87,1
8748,8749,X,O,0.09118141978979111,0,-1.0,0.848,1
8998,8999,X,O,0.1307743489742279,0,-1.0,0.816,1
9248,9249,X,O,0.13769634068012238,0,-1.0,0.828,1
9498,9499,X,O,0.11379964649677277,0,-1.0,0.812,1
9748,9749,X,O,0.10728994011878967,0,-1.0,0.758,1
9998,9999,X,O,0.1686001718044281,0,-1.0,0.862,1
10248,10249,X,O,0.11638844758272171,0,-1.0,0.798,1
10498,10499,X,O,0.14978572726249695,0,-1.0,0.84,1
10748,10749,X,O,0.10666845738887787,0,-0.788,0.85,1
10998,10999,X,O,0.13332974910736084,0,-0.384,0.864,1
11248,11249,X,O,0.11557580530643463,0,-0.632,0.822,1
11498,11499,X,O,0.18885834515094757,0,-0.516,0.816,1
11748,11749,X,O,0.11507884413003922,0,-0.736,0.848,1
11998,11999,X,O,0.12088070064783096,0,-0.896,0.814,1
12248,12249,X,O,0.12320634722709656,0,-0.6,0.868,1
12498,12499,X,O,0.08264796435832977,0,-0.616,0.852,1
12748,12749,X,O,0.14165258407592773,0,-0.616,0.878,1
12998,12999,X,O,0.14388366043567657,0,-0.596,0.804,1
13248,13249,X,O,0.12323999404907227,0,-0.576,0.846,1
13498,13499,X,O,0.10041400045156479,0,-0.62,0.804,1
13748,13749,X,O,0.0981978178024292,0,-0.608,0.808,1
13998,13999,X,O,0.06782367825508118,0,-0.392,0.838,1
14248,14249,X,O,0.09819158911705017,0,-0.508,0.798,1
14498,14499,X,O,0.09131669998168945,0,-0.538,0.828,1
14748,14749,X,O,0.1269136518239975,0,-0.472,0.8,1
14998,14999,X,O,0.13520678877830505,0,-0.522,0.81,1
15248,15249,X,O,0.0856560468673706,0,-0.652,0.846,1
15498,15499,X,O,0.13098794221878052,0,-0.506,0.786,1
15748,15749,X,O,0.09738533198833466,0,0.0,0.824,1
15998,15999,X,O,0.10909475386142731,0,-0.636,0.764,1
16248,16249,X,O,0.10141528397798538,0,0.0,0.814,1
16498,16499,X,O,0.16414880752563477,0,0.0,0.838,1
16748,16749,X,O,0.100403793156147,0,0.0,0.788,1
16998,16999,X,O,0.07349776476621628,0,0.0,0.83,1
17248,17249,X,O,0.05502690374851227,0,0.0,0.772,1
17498,17499,X,O,0.11827897280454636,0,0.098,0.854,1
17748,17749,X,O,0.10937505960464478,0,0.0,0.88,1
17998,17999,X,O,0.07154712080955505,0,0.0,0.84,1
18248,18249,X,O,0.13412080705165863,0,0.0,0.872,1
18498,18499,X,O,0.062402792274951935,0,0.0,0.83,1
18748,18749,X,O,0.07478612661361694,0,0.0,0.824,1
18998,18999,X,O,0.10864695906639099,0,0.0,0.836,1
19248,19249,X,O,0.14601382613182068,0,0.216,0.83,1
19498,19499,X,O,0.09500841051340103,0,0.0,0.896,1
19748,19749,X,O,0.11167977750301361,0,0.0,0.864,1
19998,19999,X,O,0.07589955627918243,0,0.0,0.892,1
248,249,X,O,0.06259588897228241,0,-0.5,-0.106,8000
498,499,X,O,0.027459921315312386,0,-1.0,0.316,8000
748,749,X,O,0.06164050102233887,0,-0.836,0.638,8000
998,999,X,O,0.04436511546373367,0,-0.588,0.736,8000
1248,1249,X,O,0.0601348876953125,0,-0.72,0.68,8000
1498,1499,X,O,0.06954549998044968,0,-0.604,0.744,8000
1748,1749,X,O,0.04436660557985306,0,0.0,0.77,8000
1998,1999,X,O,0.06373337656259537,0,0.0,0.684,8000
2248,2249,X,O,0.07897092401981354,0,0.0,0.664,8000
2498,2499,X,O,0.07882296293973923,0,0.206,0.772,8000
2748,2749,X,O,0.10661451518535614,0,0.0,0.744,8000
2998,2999,X,O,0.10429799556732178,0,0.0,0.708,8000
3248,3249,X,O,0.05814122408628464,0,0.094,0.812,8000
3498,3499,X,O,0.04858779162168503,0,0.0,0.776,8000
3748,3749,X,O,0.06511019915342331,0,0.0,0.848,8000
3998,3999,X,O,0.05989565700292587,0,0.0,0.828,8000
4248,4249,X,O,0.06837786734104156,0,0.188,0.838,8000
4498,4499,X,O,0.11359725147485733,0,0.12,0.8,8000
4748,4749,X,O,0.10691745579242706,0,0.0,0.81,8000
4998,4999,X,O,0.06995981931686401,0,0.0,0.84,8000
5248,5249,X,O,0.07804904878139496,0,0.092,0.812,8000
5498,5499,X,O,0.10698671638965607,0,0.098,0.802,8000
5748,5749,X,O,0.07327389717102051,0,0.198,0.862,8000
5998,5999,X,O,0.08577172458171844,0,0.0,0.844,8000
6248,6249,X,O,0.08410792797803879,0,-0.5,0.852,8000
6498,6499,X,O,0.1256820112466812,0,0.0,0.836,8000
6748,6749,X,O,0.05673971027135849,0,0.0,0.896,8000
6998,6999,X,O,0.08321463316679001,0,0.0,0.81,8000
7248,7249,X,O,0.09008736163377762,0,0.0,0.778,8000
7498,7499,X,O,0.07398324459791183,0,0.0,0.832,8000
7748,7749,X,O,0.08954747021198273,0,0.0,0.824,8000
7998,7999,X,O,0.07405337691307068,0,0.09,0.846,8000
8248,8249,X,O,0.08830051124095917,0,0.282,0.848,8000
8498,8499,X,O,0.0953427255153656,0,0.0,0.84,8000
8748,8749,X,O,0.0711536854505539,0,0.0,0.83,8000
8998,8999,X,O,0.10018046200275421,0,0.092,0.81,8000
9248,9249,X,O,0.09076188504695892,0,0.2,0.812,8000
9498,9499,X,O,0.09337082505226135,0,0.0,0.838,8000
9748,9749,X,O,0.10290935635566711,0,0.0,0.802,8000
9998,9999,X,O,0.0787559226155281,0,0.092,0.876,8000
10248,10249,X,O,0.06026506796479225,0,0.102,0.778,8000
10498,10499,X,O,0.0682435855269432,0,0.0,0.818,8000
10748,10749,X,O,0.12077329307794571,0,0.0,0.8,8000
10998,10999,X,O,0.08597791194915771,0,0.0,0.78,8000
11248,11249,X,O,0.05442379415035248,0,0.102,0.87,8000
11498,11499,X,O,0.09672629088163376,0,0.0,0.832,8000
11748,11749,X,O,0.13274800777435303,0,0.0,0.796,8000
11998,11999,X,O,0.07134143263101578,0,0.0,0.892,8000
12248,12249,X,O,0.053274258971214294,0,-0.5,0.79,8000
12498,12499,X,O,0.07949066162109375,0,-1.0,0.838,8000
12748,12749,X,O,0.05129164829850197,0,-1.0,0.782,8000
12998,12999,X,O,0.054070085287094116,0,-0.5,0.806,8000
13248,13249,X,O,0.0768466591835022,0,-0.5,0.824,8000
13498,13499,X,O,0.08875638991594315,0,-1.0,0.838,8000
13748,13749,X,O,0.08439594507217407,0,-0.5,0.818,8000
13998,13999,X,O,0.06825621426105499,0,-1.0,0.754,8000
14248,14249,X,O,0.14958330988883972,0,-0.892,0.768,8000
14498,14499,X,O,0.10239071398973465,0,0.104,0.758,8000
14748,14749,X,O,0.10159856081008911,0,0.0,0.822,8000
14998,14999,X,O,0.10516533255577087,0,0.094,0.886,8000
15248,15249,X,O,0.098545603454113,0,0.116,0.826,8000
15498,15499,X,O,0.09337598085403442,0,0.0,0.798,8000
15748,15749,X,O,0.13049712777137756,0,0.086,0.856,8000
15998,15999,X,O,0.10938505828380585,0,0.0,0.884,8000
16248,16249,X,O,0.11545952409505844,0,0.0,0.826,8000
16498,16499,X,O,0.1061435341835022,0,0.0,0.836,8000
16748,16749,X,O,0.09407750517129898,0,0.122,0.788,8000
16998,16999,X,O,0.08787340670824051,0,0.0,0.882,8000
17248,17249,X,O,0.0845230370759964,0,0.0,0.86,8000
17498,17499,X,O,0.08696870505809784,0,0.0,0.868,8000
17748,17749,X,O,0.11817711591720581,0,0.0,0.73,8000
17998,17999,X,O,0.11354377120733261,0,0.0,0.856,8000
18248,18249,X,O,0.05040972679853439,0,0.0,0.84,8000
18498,18499,X,O,0.09894660860300064,0,0.0,0.86,8000
18748,18749,X,O,0.1010216549038887,0,-0.5,0.862,8000
18998,18999,X,O,0.07255394011735916,0,-1.0,0.872,8000
19248,19249,X,O,0.04707210138440132,0,0.1,0.842,8000
19498,19499,X,O,0.058407023549079895,0,-1.0,0.808,8000
19748,19749,X,O,0.12490622699260712,0,-1.0,0.908,8000
19998,19999,X,O,0.09935778379440308,0,-1.0,0.79,8000
248,249,X,O,0.057939011603593826,0,-1.0,-0.08,16000
498,499,X,O,0.04204317927360535,0,-1.0,0.164,16000
748,749,X,O,0.05175986886024475,0,-1.0,0.68,16000
998,999,X,O,0.05112243443727493,0,-1.0,0.576,16000
1248,1249,X,O,0.07537899911403656,0,-0.79,0.736,16000
1498,1499,X,O,0.06358365714550018,0,-1.0,0.606,16000
1748,1749,X,O,0.09518595039844513,0,-1.0,0.758,16000
1998,1999,X,O,0.07166746258735657,0,-1.0,0.732,16000
2248,2249,X,O,0.0724346935749054,0,0.0,0.792,16000
2498,2499,X,O,0.08195659518241882,0,0.0,0.64,16000
2748,2749,X,O,0.0965273305773735,0,0.0,0.722,16000
2998,2999,X,O,0.07054391503334045,0,-0.804,0.83,16000
3248,3249,X,O,0.07481666654348373,0,-0.38,0.72,16000
3498,3499,X,O,0.050953373312950134,0,0.288,0.692,16000
3748,3749,X,O,0.07777921855449677,0,-0.704,0.776,16000
3998,3999,X,O,0.10967452824115753,0,0.0,0.804,16000
4248,4249,X,O,0.0574599951505661,0,0.0,0.816,16000
4498,4499,X,O,0.07401961088180542,0,0.0,0.736,16000
4748,4749,X,O,0.07537911087274551,0,0.098,0.818,16000
4998,4999,X,O,0.08124864101409912,0,0.0,0.762,16000
5248,5249,X,O,0.06991255283355713,0,0.0,0.818,16000
5498,5499,X,O,0.06337526440620422,0,0.176,0.806,16000
5748,5749,X,O,0.05612097680568695,0,0.178,0.722,16000
5998,5999,X,O,0.08233197033405304,0,-0.79,0.79,16000
6248,6249,X,O,0.13121658563613892,0,0.0,0.708,16000
6498,6499,X,O,0.11096824705600739,0,0.0,0.724,16000
6748,6749,X,O,0.09519097208976746,0,-0.724,0.858,16000
6998,6999,X,O,0.10753507912158966,0,-0.378,0.8,16000
7248,7249,X,O,0.09849953651428223,0,-0.9,0.804,16000
7498,7499,X,O,0.13275034725666046,0,-0.556,0.852,16000
7748,7749,X,O,0.0722084566950798,0,-0.68,0.902,16000
7998,7999,X,O,0.10482911765575409,0,-1.0,0.87,16000
8248,8249,X,O,0.0941382572054863,0,-0.176,0.786,16000
8498,8499,X,O,0.06527651101350784,0,-0.568,0.854,16000
8748,8749,X,O,0.09045909345149994,0,-0.444,0.862,16000
8998,8999,X,O,0.08845403790473938,0,-0.626,0.882,16000
9248,9249,X,O,0.08600308001041412,0,0.28,0.828,16000
9498,9499,X,O,0.11012109369039536,0,0.0,0.834,16000
9748,9749,X,O,0.10304013639688492,0,0.19,0.752,16000
9998,9999,X,O,0.09696067124605179,0,0.0,0.748,16000
10248,10249,X,O,0.060017962008714676,0,0.0,0.868,16000
10498,10499,X,O,0.09585722535848618,0,0.396,0.818,16000
10748,10749,X,O,0.05497726425528526,0,0.202,0.824,16000
10998,10999,X,O,0.09296877682209015,0,0.0,0.896,16000
11248,11249,X,O,0.05260362848639488,0,0.188,0.852,16000
11498,11499,X,O,0.07171513140201569,0,0.0,0.738,16000
11748,11749,X,O,0.10301950573921204,0,0.0,0.828,16000
11998,11999,X,O,0.10972501337528229,0,0.0,0.83,16000
12248,12249,X,O,0.07904672622680664,0,0.21,0.838,16000
12498,12499,X,O,0.06741676479578018,0,0.182,0.876,16000
12748,12749,X,O,0.0608525350689888,0,-0.794,0.86,16000
12998,12999,X,O,0.07577023655176163,0,-1.0,0.882,16000
13248,13249,X,O,0.07686241716146469,0,-1.0,0.806,16000
13498,13499,X,O,0.07741391658782959,0,-1.0,0.862,16000
13748,13749,X,O,0.0989101231098175,0,0.0,0.83,16000
13998,13999,X,O,0.07686681300401688,0,0.0,0.78,16000
14248,14249,X,O,0.06339211761951447,0,0.09,0.784,16000
14498,14499,X,O,0.09839142858982086,0,0.0,0.744,16000
14748,14749,X,O,0.08405165374279022,0,0.0,0.78,16000
14998,14999,X,O,0.072879359126091,0,0.0,0.824,16000
15248,15249,X,O,0.07670029997825623,0,0.0,0.84,16000
15498,15499,X,O,0.09110259264707565,0,0.0,0.814,16000
15748,15749,X,O,0.08029597252607346,0,0.0,0.886,16000
15998,15999,X,O,0.09115830063819885,0,0.09,0.8,16000
16248,16249,X,O,0.06082742661237717,0,0.0,0.82,16000
16498,16499,X,O,0.062097229063510895,0,0.0,0.862,16000
16748,16749,X,O,0.07294502854347229,0,0.178,0.814,16000
16998,16999,X,O,0.07593666762113571,0,0.21,0.832,16000
17248,17249,X,O,0.06214859336614609,0,0.0,0.832,16000
17498,17499,X,O,0.07463360577821732,0,0.0,0.82,16000
17748,17749,X,O,0.06913666427135468,0,0.0,0.8,16000
17998,17999,X,O,0.06578032672405243,0,0.0,0.902,16000
18248,18249,X,O,0.09873919188976288,0,0.0,0.854,16000
18498,18499,X,O,0.05721179395914078,0,0.0,0.812,16000
18748,18749,X,O,0.10179032385349274,0,0.0,0.808,16000
18998,18999,X,O,0.10089308023452759,0,0.09,0.878,16000
19248,19249,X,O,0.12961316108703613,0,0.094,0.748,16000
19498,19499,X,O,0.10157234966754913,0,0.0,0.752,16000
19748,19749,X,O,0.09685534983873367,0,0.182,0.798,16000
19998,19999,X,O,0.062133535742759705,0,0.0,0.804,16000
248,249,X,O,0.025271639227867126,0,-1.0,-0.536,24000
498,499,X,O,0.06146444380283356,0,-1.0,-0.12,24000
748,749,X,O,0.05660188943147659,0,-1.0,0.306,24000
998,999,X,O,0.03722873330116272,0,-0.898,0.594,24000
1248,1249,X,O,0.05358322337269783,0,-1.0,0.384,24000
1498,1499,X,O,0.08471168577671051,0,-1.0,0.15,24000
1748,1749,X,O,0.0755932480096817,0,-1.0,0.478,24000
1998,1999,X,O,0.05262220278382301,0,-1.0,0.676,24000
2248,2249,X,O,0.06616413593292236,0,-1.0,0.764,24000
2498,2499,X,O,0.07089713960886002,0,-1.0,0.8,24000
2748,2749,X,O,0.04585584998130798,0,-0.5,0.624,24000
2998,2999,X,O,0.06263983249664307,0,-0.892,0.734,24000
3248,3249,X,O,0.1135716587305069,0,-1.0,0.75,24000
3498,3499,X,O,0.07335682213306427,0,-1.0,0.726,24000
3748,3749,X,O,0.08510108292102814,0,0.0,0.758,24000
3998,3999,X,O,0.09604831039905548,0,-0.632,0.828,24000
4248,4249,X,O,0.05918388441205025,0,-0.632,0.806,24000
4498,4499,X,O,0.10138581693172455,0,-0.904,0.814,24000
4748,4749,X,O,0.10558058321475983,0,-0.65,0.786,24000
4998,4999,X,O,0.08419905602931976,0,-0.638,0.768,24000
5248,5249,X,O,0.07872039079666138,0,-0.456,0.838,24000
5498,5499,X,O,0.10428407043218613,0,-0.46,0.82,24000
5748,5749,X,O,0.08620092272758484,0,-0.78,0.786,24000
5998,5999,X,O,0.10567723214626312,0,-0.616,0.796,24000
6248,6249,X,O,0.06554791331291199,0,-0.434,0.688,24000
6498,6499,X,O,0.05984199047088623,0,0.116,0.778,24000
6748,6749,X,O,0.057769425213336945,0,-0.824,0.788,24000
6998,6999,X,O,0.08173801004886627,0,-1.0,0.75,24000
7248,7249,X,O,0.10586589574813843,0,-1.0,0.85,24000
7498,7499,X,O,0.10675258189439774,0,-0.828,0.856,24000
7748,7749,X,O,0.09918870031833649,0,0.0,0.794,24000
7998,7999,X,O,0.055094409734010696,0,-1.0,0.836,24000
8248,8249,X,O,0.07849963009357452,0,-0.79,0.852,24000
8498,8499,X,O,0.10562437772750854,0,0.0,0.838,24000
8748,8749,X,O,0.07113868743181229,0,0.0,0.84,24000
8998,8999,X,O,0.09688214957714081,0,0.0,0.83,24000
9248,9249,X,O,0.0735073983669281,0,0.084,0.802,24000
9498,9499,X,O,0.07999991625547409,0,0.204,0.842,24000
9748,9749,X,O,0.08663623034954071,0,0.0,0.716,24000
9998,9999,X,O,0.11353451013565063,0,0.204,0.886,24000
10248,10249,X,O,0.12196394801139832,0,0.0,0.786,24000
10498,10499,X,O,0.0631624162197113,0,0.0,0.798,24000
10748,10749,X,O,0.09821169078350067,0,0.0,0.854,24000
10998,10999,X,O,0.11240814626216888,0,0.0,0.768,24000
11248,11249,X,O,0.0707433819770813,0,-0.818,0.83,24000
11498,11499,X,O,0.09825804829597473,0,0.0,0.878,24000
11748,11749,X,O,0.07269417494535446,0,0.186,0.794,24000
11998,11999,X,O,0.10700983554124832,0,0.0,0.85,24000
12248,12249,X,O,0.07675020396709442,0,0.11,0.856,24000
12498,12499,X,O,0.10522708296775818,0,0.208,0.836,24000
12748,12749,X,O,0.14236630499362946,0,0.0,0.832,24000
12998,12999,X,O,0.06625480949878693,0,0.0,0.864,24000
13248,13249,X,O,0.09473423659801483,0,-1.0,0.852,24000
13498,13499,X,O,0.08194060623645782,0,0.0,0.826,24000
13748,13749,X,O,0.11068481206893921,0,0.0,0.778,24000
13998,13999,X,O,0.0696285143494606,0,0.0,0.846,24000
14248,14249,X,O,0.0804690569639206,0,0.094,0.824,24000
14498,14499,X,O,0.12190817296504974,0,0.0,0.846,24000
14748,14749,X,O,0.15537549555301666,0,0.102,0.782,24000
14998,14999,X,O,0.10258650779724121,0,0.206,0.71,24000
15248,15249,X,O,0.08230647444725037,0,0.0,0.828,24000
15498,15499,X,O,0.06887713074684143,0,0.184,0.878,24000
15748,15749,X,O,0.11163508892059326,0,0.374,0.836,24000
15998,15999,X,O,0.06607824563980103,0,0.0,0.76,24000
16248,16249,X,O,0.06799023598432541,0,-0.708,0.8,24000
16498,16499,X,O,0.07123075425624847,0,0.166,0.782,24000
16748,16749,X,O,0.10117429494857788,0,0.0,0.826,24000
16998,16999,X,O,0.0652034729719162,0,0.0,0.872,24000
17248,17249,X,O,0.11171416938304901,0,0.194,0.83,24000
17498,17499,X,O,0.057618867605924606,0,-0.61,0.826,24000
17748,17749,X,O,0.0962018221616745,0,0.292,0.844,24000
17998,17999,X,O,0.09581637382507324,0,0.208,0.856,24000
18248,18249,X,O,0.03940320014953613,0,0.0,0.786,24000
18498,18499,X,O,0.13374869525432587,0,0.0,0.858,24000
18748,18749,X,O,0.1088261604309082,0,0.0,0.854,24000
18998,18999,X,O,0.08505521714687347,0,0.0,0.878,24000
19248,19249,X,O,0.07962828129529953,0,0.078,0.788,24000
19498,19499,X,O,0.07368965446949005,0,0.0,0.802,24000
19748,19749,X,O,0.060514550656080246,0,0.222,0.824,24000
19998,19999,X,O,0.066488116979599,0,0.0,0.82,24000
248,249,X,O,0.023066595196723938,0,-1.0,-0.37,32000
498,499,X,O,0.03633347898721695,0,-1.0,0.184,32000
748,749,X,O,0.057006679475307465,0,-1.0,0.608,32000
998,999,X,O,0.06439340859651566,0,-1.0,0.58,32000
1248,1249,X,O,0.1018100455403328,0,-1.0,0.576,32000
1498,1499,X,O,0.04366540536284447,0,-0.626,0.652,32000
1748,1749,X,O,0.07998719066381454,0,-0.602,0.732,32000
1998,1999,X,O,0.06041329726576805,0,-0.632,0.748,32000
2248,2249,X,O,0.04402457922697067,0,-0.56,0.828,32000
2498,2499,X,O,0.06970113515853882,0,-0.492,0.812,32000
2748,2749,X,O,0.08967369794845581,0,-0.748,0.758,32000
2998,2999,X,O,0.06181786209344864,0,-0.652,0.86,32000
3248,3249,X,O,0.08086958527565002,0,-0.254,0.842,32000
3498,3499,X,O,0.09324535727500916,0,-0.78,0.824,32000
3748,3749,X,O,0.09027833491563797,0,-0.468,0.75,32000
3998,3999,X,O,0.08321280032396317,0,-1.0,0.8,32000
4248,4249,X,O,0.10866574198007584,0,-0.792,0.836,32000
4498,4499,X,O,0.0823071300983429,0,0.0,0.766,32000
4748,4749,X,O,0.08430615067481995,0,-0.456,0.792,32000
4998,4999,X,O,0.05971398949623108,0,0.0,0.826,32000
5248,5249,X,O,0.0773061215877533,0,-0.916,0.778,32000
5498,5499,X,O,0.1078718826174736,0,0.106,0.84,32000
5748,5749,X,O,0.12425246834754944,0,0.0,0.826,32000
5998,5999,X,O,0.06434112787246704,0,-0.772,0.85,32000
