,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
248,249,X,O,0.015217244625091553,0,-1.0,-1.0,0.0
498,499,X,O,0.008342469111084938,0,-1.0,-1.0,0.0
748,749,X,O,0.006520664319396019,0,-1.0,-1.0,0.0
998,999,X,O,0.004626445472240448,0,-1.0,-0.9,0.0
1248,1249,X,O,0.0031560102943331003,0,-1.0,-0.936,0.0
1498,1499,X,O,0.0059034330770373344,0,-0.5,-0.756,0.0
1748,1749,X,O,0.005814137402921915,0,-0.496,-0.78,0.0
1998,1999,X,O,0.0006862839218229055,0,-0.896,-0.96,0.0
2248,2249,X,O,0.00025983311934396625,0,-0.524,-0.732,0.0
2498,2499,X,O,0.0006619181367568672,0,-0.82,-0.932,0.0
2748,2749,X,O,0.0003726448630914092,0,-0.768,-0.848,0.0
2998,2999,X,O,0.0002690969849936664,0,-0.604,-0.872,0.0
3248,3249,X,O,0.00035571385524235666,0,-0.236,-0.508,0.0
3498,3499,X,O,0.023034872487187386,0,-0.268,-0.44,0.0
3748,3749,X,O,0.0002272734564030543,0,-0.248,-0.5,0.0
3998,3999,X,O,0.005638588685542345,0,0.0,-0.796,0.0
4248,4249,X,O,0.0004060484061483294,0,0.0,-0.516,0.0
4498,4499,X,O,0.006795525550842285,0,0.0,-0.688,0.0
4748,4749,X,O,0.0020470372401177883,0,0.0,-0.784,0.0
4998,4999,X,O,0.004431848879903555,0,0.0,-0.744,0.0
5248,5249,X,O,0.000639690610114485,0,0.0,-0.712,0.0
5498,5499,X,O,0.00033581454772502184,0,0.0,-0.692,0.0
5748,5749,X,O,0.0004878813633695245,0,0.0,-0.7,0.0
5998,5999,X,O,0.001618139911442995,0,0.0,-0.724,0.0
6248,6249,X,O,0.00038569237221963704,0,0.0,-0.576,0.0
6498,6499,X,O,0.00035429239505901933,0,0.0,-0.68,0.0
6748,6749,X,O,0.0018995038699358702,0,0.0,-0.628,0.0
6998,6999,X,O,0.001881630509160459,0,0.0,-0.692,0.0
