,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
248,249,1,-1,X,O,0.10852516442537308,0.07804414629936218,-0.858,-0.432,0.0
498,499,1,-1,X,O,0.07133103907108307,0.059565238654613495,-0.484,-0.068,0.0
748,749,1,-1,X,O,0.10890750586986542,0.10067148506641388,-0.794,0.168,0.0
998,999,1,-1,X,O,0.08049318194389343,0.09382912516593933,-1.0,0.0,0.0
1248,1249,1,-1,X,O,0.1683417111635208,0.07094351947307587,-1.0,0.332,0.0
1498,1499,1,-1,X,O,0.14298830926418304,0.14302217960357666,-1.0,0.232,0.0
1748,1749,-1,1,X,O,0.14814412593841553,0.13747212290763855,-0.94,0.342,0.0
1998,1999,1,-1,X,O,0.08590172231197357,0.057994961738586426,-0.446,0.33,0.0
2248,2249,-1,1,X,O,0.08282262086868286,0.09423401951789856,-0.884,0.276,0.0
2498,2499,1,-1,X,O,0.041377484798431396,0.07697035372257233,-0.638,0.318,0.0
2748,2749,1,-1,X,O,0.05970511958003044,0.08394815027713776,-0.666,0.35,0.0
2998,2999,1,-1,X,O,0.16378900408744812,0.1258571594953537,-0.624,0.354,0.0
3248,3249,1,-1,X,O,0.10112157464027405,0.11266489326953888,-0.572,0.326,0.0
3498,3499,1,-1,X,O,0.0782209038734436,0.15157164633274078,-0.722,0.406,0.0
3748,3749,-1,1,X,O,0.04336642101407051,0.042845506221055984,-0.84,0.176,0.0
3998,3999,1,-1,X,O,0.056036025285720825,0.027976300567388535,-0.75,0.142,0.0
4248,4249,1,-1,X,O,0.022542765364050865,0.036745574325323105,-0.742,0.16,0.0
4498,4499,1,-1,X,O,0.1017618402838707,0.05780614912509918,-0.68,0.184,0.0
4748,4749,1,-1,X,O,0.07894258201122284,0.053461842238903046,-0.658,0.234,0.0
4998,4999,1,-1,X,O,0.11994489282369614,0.1315685510635376,-0.78,0.164,0.0
5248,5249,-1,1,X,O,0.12128373235464096,0.05054010450839996,-0.7,-0.164,0.0
5498,5499,1,-1,X,O,0.045417509973049164,0.07773609459400177,-0.468,0.318,0.0
5748,5749,1,-1,X,O,0.042142659425735474,0.05368813872337341,-0.708,0.398,0.0
5998,5999,1,-1,X,O,0.10580524057149887,0.002796540502458811,-0.72,0.334,0.0
6248,6249,-1,1,X,O,0.0014248124789446592,0.017921505495905876,-1.0,0.27,0.0
6498,6499,-1,1,X,O,0.03282429650425911,0.00641388725489378,-0.898,0.412,0.0
6748,6749,1,-1,X,O,0.05768505111336708,0.028883254155516624,-0.752,0.538,0.0
6998,6999,-1,1,X,O,0.045950938016176224,0.05583357438445091,-1.0,0.234,0.0
7248,7249,-1,1,X,O,0.03977061063051224,0.05527244508266449,-0.914,0.292,0.0
7498,7499,0,0,X,O,0.044819176197052,0.10462740063667297,-1.0,0.532,0.0
7748,7749,1,-1,X,O,0.04539782181382179,0.052364278584718704,-1.0,0.292,0.0
7998,7999,1,-1,X,O,0.11398747563362122,0.02103196084499359,-0.742,0.404,0.0
8248,8249,1,-1,X,O,0.08241984248161316,0.05668853968381882,-0.806,0.534,0.0
8498,8499,1,-1,X,O,0.08177430182695389,0.04487748071551323,-0.768,0.608,0.0
8748,8749,1,-1,X,O,0.11543401330709457,0.09257019311189651,-0.786,0.502,0.0
8998,8999,1,-1,X,O,0.04213935509324074,0.08487842977046967,-0.71,0.44,0.0
9248,9249,1,-1,X,O,0.06280513107776642,0.061366789042949677,-1.0,0.314,0.0
9498,9499,-1,1,X,O,0.029491771012544632,0.04185912013053894,-0.9,0.506,0.0
9748,9749,1,-1,X,O,0.07247450947761536,0.040803246200084686,-0.826,0.584,0.0
9998,9999,1,-1,X,O,0.045025747269392014,0.07410690188407898,-0.794,0.526,0.0
10248,10249,-1,1,X,O,0.05176204442977905,0.06252357363700867,-1.0,0.506,0.0
10498,10499,-1,1,X,O,0.035514507442712784,0.0407860204577446,-0.842,0.586,0.0
10748,10749,-1,1,X,O,0.05693667382001877,0.024805782362818718,-0.374,0.55,0.0
