,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
248,249,1,-1,X,O,0.0408046618103981,0.05352722853422165,-1.0,0.202,1
498,499,1,-1,X,O,0.04311075434088707,0.06560266017913818,-0.5,0.522,1
748,749,-1,1,X,O,0.0935571938753128,0.11315210163593292,-1.0,0.494,1
998,999,1,-1,X,O,0.08976684510707855,0.06498774886131287,-0.5,0.608,1
1248,1249,0,0,X,O,0.08719849586486816,0.08553725481033325,-1.0,0.684,1
1498,1499,-1,1,X,O,0.09987425804138184,0.05949220806360245,-1.0,0.734,1
1748,1749,1,-1,X,O,0.07633607089519501,0.07825557887554169,0.11,0.71,1
1998,1999,1,-1,X,O,0.051587432622909546,0.07589252293109894,-0.886,0.718,1
2248,2249,-1,1,X,O,0.047284550964832306,0.07506559044122696,0.094,0.696,1
2498,2499,1,-1,X,O,0.05805475264787674,0.07503093779087067,0.0,0.668,1
2748,2749,-1,1,X,O,0.023488685488700867,0.07369901239871979,0.122,0.678,1
2998,2999,1,-1,X,O,0.046886295080184937,0.0792996808886528,0.124,0.744,1
3248,3249,1,-1,X,O,0.06407051533460617,0.022077511996030807,-0.778,0.658,1
3498,3499,-1,1,X,O,0.10571800172328949,0.06897681951522827,-0.818,0.71,1
3748,3749,-1,1,X,O,0.03873676061630249,0.01410125195980072,-0.426,0.668,1
3998,3999,-1,1,X,O,0.08555324375629425,0.03876623883843422,-0.918,0.686,1
4248,4249,1,-1,X,O,0.05875539034605026,0.06129241734743118,-0.758,0.612,1
4498,4499,1,-1,X,O,0.05870015174150467,0.09008282423019409,-0.724,0.724,1
4748,4749,-1,1,X,O,0.050563909113407135,0.048252277076244354,-0.628,0.834,1
4998,4999,1,-1,X,O,0.0817137137055397,0.09251803159713745,-0.418,0.804,1
5248,5249,1,-1,X,O,0.03709084540605545,0.07114460319280624,-0.908,0.762,1
5498,5499,-1,1,X,O,0.05344746261835098,0.07242892682552338,-0.824,0.754,1
5748,5749,0,0,X,O,0.036402031779289246,0.09010930359363556,-0.574,0.804,1
5998,5999,-1,1,X,O,0.10969892144203186,0.09157228469848633,-0.2,0.798,1
6248,6249,-1,1,X,O,0.0452006533741951,0.0882580429315567,-0.602,0.844,1
6498,6499,-1,1,X,O,0.04938528686761856,0.09592463076114655,-0.714,0.75,1
6748,6749,-1,1,X,O,0.05724325031042099,0.06336820870637894,-0.796,0.798,1
6998,6999,-1,1,X,O,0.04683879017829895,0.021930348128080368,-0.59,0.818,1
7248,7249,-1,1,X,O,0.03643687814474106,0.020151644945144653,-0.596,0.768,1
7498,7499,0,0,X,O,0.03298872709274292,0.034539878368377686,-0.336,0.792,1
7748,7749,1,-1,X,O,0.026571623980998993,0.04343278706073761,-0.272,0.792,1
7998,7999,-1,1,X,O,0.043804317712783813,0.1344093233346939,-0.586,0.83,1
8248,8249,1,-1,X,O,0.0847114697098732,0.05342995002865791,-0.69,0.77,1
8498,8499,-1,1,X,O,0.06750015914440155,0.10562381893396378,-0.214,0.774,1
8748,8749,-1,1,X,O,0.04414548724889755,0.024136647582054138,-0.172,0.8,1
8998,8999,1,-1,X,O,0.06917798519134521,0.00940907932817936,-0.704,0.816,1
9248,9249,-1,1,X,O,0.021665329113602638,0.053144671022892,-0.688,0.844,1
9498,9499,1,-1,X,O,0.03275394067168236,0.065888911485672,-0.682,0.76,1
9748,9749,-1,1,X,O,0.041227057576179504,0.08128468692302704,-0.782,0.722,1
9998,9999,-1,1,X,O,0.08327580988407135,0.039718739688396454,-0.708,0.73,1
10248,10249,-1,1,X,O,0.06308329850435257,0.0753270611166954,-0.796,0.818,1
10498,10499,-1,1,X,O,0.061681438237428665,0.04115184769034386,-0.288,0.808,1
10748,10749,-1,1,X,O,0.08721057325601578,0.029924532398581505,-0.586,0.846,1
10998,10999,1,-1,X,O,0.027388961985707283,0.09962871670722961,-0.5,0.872,1
11248,11249,-1,1,X,O,0.03767511621117592,0.0312599241733551,-0.5,0.854,1
11498,11499,-1,1,X,O,0.04410707578063011,0.05412856489419937,-0.592,0.792,1
11748,11749,1,-1,X,O,0.009450620971620083,0.07651586085557938,-0.782,0.838,1
11998,11999,-1,1,X,O,0.03032614104449749,0.03861798346042633,-0.92,0.868,1
12248,12249,0,0,X,O,0.07962857186794281,0.060682885348796844,-0.534,0.796,1
12498,12499,-1,1,X,O,0.07339788228273392,0.01673218235373497,-0.754,0.788,1
12748,12749,1,-1,X,O,0.03258644789457321,0.07350988686084747,-0.892,0.742,1
12998,12999,-1,1,X,O,0.04786096140742302,0.06609091907739639,-0.884,0.784,1
