,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,eps
249,250,-1,1,O,X,-1.0,0.29,0.0
499,500,-1,1,O,X,-1.0,0.202,0.0
749,750,-1,1,O,X,-1.0,0.248,0.0
999,1000,-1,1,O,X,-1.0,0.304,0.0
1249,1250,-1,1,O,X,-1.0,0.308,0.0
1499,1500,-1,1,O,X,-1.0,0.256,0.0
1749,1750,-1,1,O,X,-1.0,0.288,0.0
1999,2000,-1,1,O,X,-1.0,0.222,0.0
2249,2250,-1,1,O,X,-1.0,0.268,0.0
2499,2500,-1,1,O,X,-1.0,0.382,0.0
2749,2750,-1,1,O,X,-1.0,0.272,0.0
2999,3000,-1,1,O,X,-1.0,0.28,0.0
3249,3250,-1,1,O,X,-1.0,0.292,0.0
3499,3500,-1,1,O,X,-1.0,0.312,0.0
3749,3750,-1,1,O,X,-1.0,0.282,0.0
3999,4000,-1,1,O,X,-1.0,0.248,0.0
4249,4250,-1,1,O,X,-1.0,0.29,0.0
4499,4500,-1,1,O,X,-1.0,0.26,0.0
4749,4750,-1,1,O,X,-1.0,0.276,0.0
4999,5000,-1,1,O,X,-1.0,0.21,0.0
5249,5250,-1,1,O,X,-1.0,0.276,0.0
5499,5500,-1,1,O,X,-1.0,0.29,0.0
5749,5750,-1,1,O,X,-1.0,0.214,0.0
5999,6000,-1,1,O,X,-1.0,0.29,0.0
6249,6250,-1,1,O,X,-1.0,0.292,0.0
6499,6500,-1,1,O,X,-1.0,0.204,0.0
6749,6750,-1,1,O,X,-1.0,0.286,0.0
6999,7000,-1,1,O,X,-1.0,0.21,0.0
7249,7250,-1,1,O,X,-1.0,0.308,0.0
7499,7500,-1,1,O,X,-1.0,0.258,0.0
7749,7750,-1,1,O,X,-1.0,0.31,0.0
7999,8000,-1,1,O,X,-1.0,0.204,0.0
8249,8250,-1,1,O,X,-1.0,0.27,0.0
8499,8500,-1,1,O,X,-1.0,0.282,0.0
8749,8750,-1,1,O,X,-1.0,0.286,0.0
8999,9000,-1,1,O,X,-1.0,0.242,0.0
9249,9250,-1,1,O,X,-1.0,0.192,0.0
9499,9500,-1,1,O,X,-1.0,0.236,0.0
9749,9750,-1,1,O,X,-1.0,0.298,0.0
9999,10000,-1,1,O,X,-1.0,0.27,0.0
10249,10250,-1,1,O,X,-1.0,0.206,0.0
10499,10500,-1,1,O,X,-1.0,0.228,0.0
10749,10750,-1,1,O,X,-1.0,0.284,0.0
10999,11000,-1,1,O,X,-1.0,0.334,0.0
11249,11250,-1,1,O,X,-1.0,0.16,0.0
11499,11500,-1,1,O,X,-1.0,0.236,0.0
11749,11750,-1,1,O,X,-1.0,0.14,0.0
11999,12000,-1,1,O,X,-1.0,0.22,0.0
12249,12250,-1,1,O,X,-1.0,0.268,0.0
12499,12500,-1,1,O,X,-1.0,0.276,0.0
