,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,n_star
249,250,-1,1,O,X,-1.0,0.214,1
499,500,-1,1,O,X,-1.0,0.21,1
749,750,-1,1,O,X,-1.0,0.316,1
999,1000,-1,1,O,X,-1.0,0.272,1
1249,1250,-1,1,O,X,-1.0,0.248,1
1499,1500,-1,1,O,X,-1.0,0.304,1
1749,1750,-1,1,O,X,-1.0,0.304,1
1999,2000,-1,1,O,X,-1.0,0.314,1
2249,2250,-1,1,O,X,-1.0,0.314,1
2499,2500,-1,1,O,X,-1.0,0.244,1
2749,2750,-1,1,O,X,-1.0,0.248,1
2999,3000,-1,1,O,X,-1.0,0.306,1
3249,3250,-1,1,O,X,-1.0,0.27,1
3499,3500,-1,1,O,X,-1.0,0.298,1
3749,3750,-1,1,O,X,-1.0,0.274,1
3999,4000,-1,1,O,X,-1.0,0.254,1
4249,4250,-1,1,O,X,-1.0,0.324,1
4499,4500,0,0,O,X,-1.0,0.218,1
4749,4750,-1,1,O,X,-1.0,0.176,1
4999,5000,-1,1,O,X,-1.0,0.278,1
5249,5250,-1,1,O,X,-1.0,0.314,1
5499,5500,-1,1,O,X,-1.0,0.294,1
5749,5750,-1,1,O,X,-1.0,0.27,1
5999,6000,-1,1,O,X,-1.0,0.204,1
6249,6250,-1,1,O,X,-1.0,0.284,1
6499,6500,-1,1,O,X,-1.0,0.272,1
6749,6750,-1,1,O,X,-1.0,0.284,1
6999,7000,-1,1,O,X,-1.0,0.21,1
7249,7250,-1,1,O,X,-1.0,0.326,1
7499,7500,-1,1,O,X,-1.0,0.3,1
7749,7750,0,0,O,X,-1.0,0.37,1
7999,8000,-1,1,O,X,-1.0,0.282,1
8249,8250,-1,1,O,X,-1.0,0.342,1
8499,8500,-1,1,O,X,-1.0,0.348,1
8749,8750,-1,1,O,X,-1.0,0.382,1
8999,9000,-1,1,O,X,-1.0,0.276,1
9249,9250,-1,1,O,X,-1.0,0.324,1
9499,9500,-1,1,O,X,-1.0,0.238,1
9749,9750,-1,1,O,X,-1.0,0.316,1
9999,10000,-1,1,O,X,-1.0,0.368,1
10249,10250,-1,1,O,X,-1.0,0.296,1
10499,10500,-1,1,O,X,-1.0,0.318,1
10749,10750,-1,1,O,X,-1.0,0.396,1
10999,11000,-1,1,O,X,-1.0,0.31,1
11249,11250,-1,1,O,X,-1.0,0.362,1
11499,11500,0,0,O,X,-1.0,0.326,1
11749,11750,-1,1,O,X,-1.0,0.28,1
11999,12000,-1,1,O,X,-1.0,0.338,1
12249,12250,-1,1,O,X,-1.0,0.324,1
12499,12500,-1,1,O,X,-1.0,0.32,1
12749,12750,-1,1,O,X,-1.0,0.388,1
12999,13000,-1,1,O,X,-1.0,0.316,1
13249,13250,-1,1,O,X,-1.0,0.386,1
13499,13500,0,0,O,X,-1.0,0.326,1
13749,13750,-1,1,O,X,-1.0,0.308,1
13999,14000,-1,1,O,X,-1.0,0.372,1
14249,14250,-1,1,O,X,-1.0,0.338,1
14499,14500,-1,1,O,X,-1.0,0.278,1
14749,14750,0,0,O,X,-1.0,0.312,1
14999,15000,-1,1,O,X,-1.0,0.374,1
15249,15250,-1,1,O,X,-1.0,0.296,1
